!# Results of ROTMAS saved at 12-May-2008 (12:04:28)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 206.261
!# Red. Chi-square (N=96,n=1) : 2.171165
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     0.100000   845.802979     0.710000     1.000000 
!# Parameter error :     0.000000    25.411663     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4002     0.606     10.95         0      29.4     6.484   16.9824   20.2156         0         0   
   0.5336    -2.114   13.9546         0      26.8     5.743   19.6094   23.9748         0         0   
    0.667    -3.242   16.5586         0     24.28     7.477   21.9238   27.2824         0         0   
   0.8004   -0.9107    18.671         0     26.21      6.25   24.0161   30.4064         0         0   
   0.9338      2.92   20.6377         0     27.02     6.001   25.9402   33.2766         0         0   
    1.067     5.223    22.495         0      30.4     8.367   27.7284   36.0856         0         0   
    1.201     6.908   24.1764         0     30.38     7.128   29.4178   38.6992         0         0   
    1.334     6.357   25.6634         0        33      6.25   31.0037   40.7462         0         0   
    1.467     5.724   27.0838         0     36.25     5.424   32.5123   42.7007         0         0   
    1.601     5.785    28.401         0     36.53     5.883   33.9645   44.6505         0         0   
    1.734     6.657   29.5845         0     35.71     4.943   35.3468   46.5721         0         0   
    1.868     7.335   30.7197         0     36.17      3.18   36.6869    48.409         0         0   
    2.001     8.222   31.8123         0     38.09     3.374   37.9702   50.2131         0         0   
    2.134     9.402   32.9595         0     38.92     3.204   39.2114   52.0794         0         0   
    2.268     10.33   34.0035         0     41.74     3.505   40.4235   53.8238         0         0   
    2.401     11.38   34.8412         0     43.09     3.631   41.5915   55.4371         0         0   
    2.535     12.09   35.5573         0     44.55       4.3    42.736   56.8934         0         0   
    2.668     11.59   35.8791         0     47.67      4.02   43.8424   57.8255         0         0   
    2.801      10.8   36.2858         0     49.36     4.203   44.9216   58.7473         0         0   
    2.935     10.81   36.7592         0     50.88     4.307   45.9832   59.8544         0         0   
    3.068     11.04   37.3176         0      53.5     3.576   47.0131   61.0305         0         0   
    3.202     10.08   37.8154         0     54.01      4.13   48.0285   61.9544         0         0   
    3.335     8.541   38.1432         0     54.78      4.89   49.0154   62.6926         0         0   
    3.468      8.55    38.477         0        54     4.584   49.9828   63.6543         0         0   
    3.602     8.657   38.7866         0      55.6     4.581   50.9389   64.6074         0         0   
    3.735     8.919   39.0233         0     56.55     5.124   51.8704   65.5203         0         0   
    3.869     9.797   39.2418         0     57.95     5.399   52.7923   66.5051         0         0   
    4.002      11.3   39.4057         0     59.42     5.586   53.6916   67.5521         0         0   
    4.135     13.46   39.5211         0     60.59     6.806    54.576   68.7141         0         0   
    4.269     15.12   39.6971         0     62.14     6.055   55.4528   69.8533         0         0   
    4.402     16.52   40.0309         0     64.74     6.001   56.3096   71.0362         0         0   
    4.536     17.53   40.1826         0     69.01     6.061   57.1597    72.036         0         0   
    4.669     16.89   40.6379         0     72.35     6.388   57.9912    72.799         0         0   
    4.802      14.8   41.2874         0     74.67      6.88   58.8109   73.3649         0         0   
    4.936     13.22   41.4816         0     76.93     6.884   59.6254   73.8287         0         0   
    5.069     13.77   41.8397         0     79.29     6.961   60.4228   74.7736         0         0   
    5.203     14.41   41.9429         0     78.92     6.436   61.2158   75.5925         0         0   
    5.336     13.36   41.9187         0     79.32     7.922   61.9928   76.0182         0         0   
    5.469     12.14   41.8518         0     76.57     4.999   62.7601   76.4054         0         0   
    5.603     12.01   41.6212         0     75.18     7.172   63.5238   76.8885         0         0   
