!# Results of ROTMAS saved at 12-Oct-2007 (11:00:53)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 267.227
!# Red. Chi-square (N=96,n=1) : 2.812917
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     0.100000   721.526001     1.000000     1.000000 
!# Parameter error :     0.000000    28.930391     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4002     0.606   12.9953         0      29.4     6.484   15.6851   20.3781         0         0   
   0.5336    -2.114   16.5611         0      26.8     5.743   18.1115   24.4505         0         0   
    0.667    -3.242   19.6515         0     24.28     7.477    20.249   28.0302         0         0   
   0.8004   -0.9107   22.1584         0     26.21      6.25   22.1815   31.3398         0         0   
   0.9338      2.92   24.4924         0     27.02     6.001   23.9585   34.3863         0         0   
    1.067     5.223   26.6966         0      30.4     8.367   25.6101   37.3613         0         0   
    1.201     6.908   28.6921         0     30.38     7.128   27.1705   40.1147         0         0   
    1.334     6.357   30.4569         0        33      6.25   28.6351   42.2848         0         0   
    1.467     5.724   32.1426         0     36.25     5.424   30.0284   44.3578         0         0   
    1.601     5.785   33.7058         0     36.53     5.883   31.3696   46.4069         0         0   
    1.734     6.657   35.1104         0     35.71     4.943   32.6463   48.4029         0         0   
    1.868     7.335   36.4576         0     36.17      3.18   33.8839   50.3098         0         0   
    2.001     8.222   37.7542         0     38.09     3.374   35.0691   52.1807         0         0   
    2.134     9.402   39.1157         0     38.92     3.204   36.2155   54.1295         0         0   
    2.268     10.33   40.3547         0     41.74     3.505   37.3349   55.9384         0         0   
    2.401     11.38   41.3489         0     43.09     3.631   38.4136   57.5747         0         0   
    2.535     12.09   42.1988         0     44.55       4.3   39.4706   59.0325         0         0   
    2.668     11.59   42.5806         0     47.67      4.02   40.4925   59.8922         0         0   
    2.801      10.8   43.0633         0     49.36     4.203   41.4891   60.7654         0         0   
    2.935     10.81   43.6251         0     50.88     4.307   42.4695   61.8358         0         0   
    3.068     11.04   44.2879         0      53.5     3.576   43.4207   62.9973         0         0   
    3.202     10.08   44.8786         0     54.01      4.13   44.3584   63.9012         0         0   
    3.335     8.541   45.2676         0     54.78      4.89   45.2699   64.5869         0         0   
    3.468      8.55   45.6638         0        54     4.584   46.1633    65.493         0         0   
    3.602     8.657   46.0312         0      55.6     4.581   47.0463   66.3865         0         0   
    3.735     8.919   46.3122         0     56.55     5.124   47.9065   67.2265         0         0   
    3.869     9.797   46.5715         0     57.95     5.399   48.7578   68.1338         0         0   
    4.002      11.3    46.766         0     59.42     5.586   49.5884   69.0924         0         0   
    4.135     13.46   46.9029         0     60.59     6.806   50.4051   70.1551         0         0   
    4.269     15.12   47.1118         0     62.14     6.055   51.2149   71.2117         0         0   
    4.402     16.52   47.5079         0     64.74     6.001   52.0061   72.3501         0         0   
    4.536     17.53    47.688         0     69.01     6.061   52.7912   73.2691         0         0   
    4.669     16.89   48.2283         0     72.35     6.388   53.5591   74.0258         0         0   
    4.802      14.8   48.9991         0     74.67      6.88    54.316   74.6337         0         0   
    4.936     13.22   49.2296         0     76.93     6.884   55.0682   75.0388         0         0   
    5.069     13.77   49.6546         0     79.29     6.961   55.8046   75.9562         0         0   
    5.203     14.41   49.7771         0     78.92     6.436   56.5369   76.6931         0         0   
    5.336     13.36   49.7483         0     79.32     7.922   57.2544   77.0159         0         0   
    5.469     12.14    49.669         0     76.57     4.999    57.963   77.2923         0         0   
    5.603     12.01   49.3953         0     75.18     7.172   58.6683    77.628         0         0   
    5.736     11.68   49.3449         0     73.21     8.187     59.36   78.0701         0         0   
     5.87     12.93   49.3736         0     73.21     8.532   60.0488   78.8086         0         0   
    6.003     14.07   49.2944         0     71.35     8.346   60.7247   79.4694         0         0   
    6.136     13.76   49.4889         0     69.92     8.826   61.3931   80.0475         0         0   
     6.27     12.65   49.5969         0     72.19      8.65   62.0593   80.4439         0         0   
    6.403     11.21   49.9427         0     78.75     8.945   62.7134   80.9501         0         0   
    6.537     11.58   50.6055         0     80.78     6.445   63.3657   81.9159         0         0   
     6.67     14.49   51.2322         0     80.22     5.568   64.0065   83.2558         0         0   
    6.803      16.7   51.7004         0      82.7      6.35   64.6409   84.4409         0         0   
    6.937     18.78    52.464         0     86.43     4.448   65.2738   85.8244         0         0   
     7.07     20.57   52.9178         0      88.6      4.35   65.8959    86.981         0         0   
    7.203     21.35   52.9323         0     91.08     4.298   66.5122   87.6443         0         0   
    7.337     22.12   53.2204         0     92.88     4.457   67.1274   88.4748         0         0   
     7.47     23.08   53.4365         0      94.8     4.752   67.7325   89.3075         0         0   
    7.604     23.86   53.4077         0     97.01      4.71   68.3367   89.9532         0         0   
    7.737     24.06   53.8255         0     99.38     5.542   68.9311   90.7059         0         0   
     7.87     24.24   53.9695         0     100.2     5.752   69.5204   91.2873         0         0   
    8.004     24.27   54.0416         0     99.53     5.578   70.1091   91.7868         0         0   
    8.137     24.08   54.1569         0     103.9     6.196   70.6885   92.2479         0         0   
    8.271     23.78   53.9695         0     104.8     6.136   71.2675   92.5054         0         0   
    8.404     23.78    53.984         0     104.5     6.782   71.8376   92.9538         0         0   
    8.537     23.95    53.703         0     105.3      6.32   72.4031   93.2729         0         0   
    8.671     24.09   53.4797         0     106.5     6.257   72.9685   93.6205         0         0   
    8.804      24.7    53.739         0     106.9     6.551   73.5253   94.3607         0         0   
    8.938     25.98   53.8903         0     107.9     7.506    74.082   95.2222         0         0   
    9.071     26.64   54.4306         0       108     7.682   74.6305   96.1358         0         0   
    9.204     26.38   54.7836         0     105.7     7.315   75.1749   96.6872         0         0   
    9.338     26.29   54.6107         0     105.9     7.496   75.7195   96.9893         0         0   
    9.471     27.41   54.5675         0     105.9      7.58   76.2561   97.6929         0         0   
    9.605     28.94   54.7691         0       107     7.131   76.7929   98.6627         0         0   
    9.738     30.22   54.7691         0     108.7      6.23   77.3221   99.4566         0         0   
    9.871     30.61   55.2086         0     110.8     5.671   77.8476   100.226         0         0   
       10     30.38    55.612         0       112     5.477   78.3539   100.772         0         0   
    10.14     30.34   55.6985         0     111.3     5.511   78.8997   101.232         0         0   
    10.27     30.88   55.8497         0     110.3     5.393   79.4032   101.871         0         0   
    10.41     32.44   56.2532         0       110     5.502   79.9418   102.993         0         0   
    10.54      33.4   56.3179         0     109.1     5.663   80.4387   103.719         0         0   
    10.67     34.06   56.4044         0     110.8     5.623   80.9325   104.363         0         0   
    10.81     35.01   56.4044         0       111     5.061   81.4609   105.086         0         0   
    10.94     36.07   56.2748         0     110.2     4.865   81.9485   105.752         0         0   
    11.07     37.27   56.2027         0     109.6     5.288   82.4332   106.504         0         0   
