!# Results of ROTMAS saved at 12-Oct-2007 (12:32:07)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 105.963
!# Red. Chi-square (N=96,n=1) : 1.115396
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     0.100000  1158.150024     0.000000     1.000000 
!# Parameter error :     0.000000    18.180147     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4002     0.606        -0         0      29.4     6.484   19.8723   19.8816         0         0   
   0.5336    -2.114        -0         0      26.8     5.743   22.9465   22.8489         0         0   
    0.667    -3.242        -0         0     24.28     7.477   25.6548   25.4491         0         0   
   0.8004   -0.9107        -0         0     26.21      6.25   28.1032   28.0885         0         0   
   0.9338      2.92        -0         0     27.02     6.001   30.3548   30.4949         0         0   
    1.067     5.223        -0         0      30.4     8.367   32.4474   32.8651         0         0   
    1.201     6.908        -0         0     30.38     7.128   34.4244   35.1107         0         0   
    1.334     6.357        -0         0        33      6.25   36.2803    36.833         0         0   
    1.467     5.724        -0         0     36.25     5.424   38.0457   38.4739         0         0   
    1.601     5.785        -0         0     36.53     5.883   39.7451   40.1639         0         0   
    1.734     6.657        -0         0     35.71     4.943   41.3628   41.8951         0         0   
    1.868     7.335        -0         0     36.17      3.18    42.931   43.5531         0         0   
    2.001     8.222        -0         0     38.09     3.374   44.4328   45.1871         0         0   
    2.134     9.402        -0         0     38.92     3.204   45.8855   46.8388         0         0   
    2.268     10.33        -0         0     41.74     3.505   47.3039   48.4187         0         0   
    2.401     11.38        -0         0     43.09     3.631   48.6709   49.9836         0         0   
    2.535     12.09        -0         0     44.55       4.3   50.0103   51.4509         0         0   
    2.668     11.59        -0         0     47.67      4.02   51.3051    52.598         0         0   
    2.801      10.8        -0         0     49.36     4.203   52.5681    53.666         0         0   
    2.935     10.81        -0         0     50.88     4.307   53.8105   54.8856         0         0   
    3.068     11.04        -0         0      53.5     3.576   55.0159   56.1127         0         0   
    3.202     10.08        -0         0     54.01      4.13   56.2042   57.1009         0         0   
    3.335     8.541        -0         0     54.78      4.89   57.3592   57.9916         0         0   
    3.468      8.55        -0         0        54     4.584   58.4915   59.1131         0         0   
    3.602     8.657        -0         0      55.6     4.581   59.6104   60.2358         0         0   
    3.735     8.919        -0         0     56.55     5.124   60.7006   61.3524         0         0   
    3.869     9.797        -0         0     57.95     5.399   61.7796   62.5515         0         0   
    4.002      11.3        -0         0     59.42     5.586   62.8321   63.8401         0         0   
    4.135     13.46        -0         0     60.59     6.806   63.8673   65.2702         0         0   
    4.269     15.12        -0         0     62.14     6.055   64.8935   66.6317         0         0   
    4.402     16.52        -0         0     64.74     6.001   65.8962   67.9354         0         0   
    4.536     17.53        -0         0     69.01     6.061   66.8913   69.1502         0         0   
    4.669     16.89        -0         0     72.35     6.388   67.8645   69.9347         0         0   
    4.802      14.8        -0         0     74.67      6.88   68.8239   70.3972         0         0   
    4.936     13.22        -0         0     76.93     6.884   69.7771   71.0184         0         0   
    5.069     13.77        -0         0     79.29     6.961   70.7105   72.0388         0         0   
    5.203     14.41        -0         0     78.92     6.436   71.6386   73.0735         0         0   
    5.336     13.36        -0         0     79.32     7.922   72.5481    73.768         0         0   
    5.469     12.14        -0         0     76.57     4.999   73.4462   74.4428         0         0   
    5.603     12.01        -0         0     75.18     7.172   74.3401    75.304         0         0   
    5.736     11.68        -0         0     73.21     8.187   75.2168   76.1183         0         0   
     5.87     12.93        -0         0     73.21     8.532   76.0899   77.1807         0         0   
    6.003     14.07        -0         0     71.35     8.346   76.9466   78.2224         0         0   
    6.136     13.76        -0         0     69.92     8.826   77.7939   79.0015         0         0   
     6.27     12.65        -0         0     72.19      8.65   78.6383   79.6493         0         0   
    6.403     11.21        -0         0     78.75     8.945   79.4675   80.2543         0         0   
    6.537     11.58        -0         0     80.78     6.445   80.2943    81.125         0         0   
     6.67     14.49        -0         0     80.22     5.568   81.1065   82.3907         0         0   
    6.803      16.7        -0         0      82.7      6.35   81.9107   83.5958         0         0   
    6.937     18.78        -0         0     86.43     4.448    82.713   84.8182         0         0   
     7.07     20.57        -0         0      88.6      4.35   83.5017    85.998         0         0   
    7.203     21.35        -0         0     91.08     4.298   84.2829    86.945         0         0   
    7.337     22.12        -0         0     92.88     4.457   85.0628   87.8918         0         0   
     7.47     23.08        -0         0      94.8     4.752   85.8298   88.8788         0         0   
    7.604     23.86        -0         0     97.01      4.71   86.5957   89.8227         0         0   
    7.737     24.06        -0         0     99.38     5.542   87.3493   90.6023         0         0   
     7.87     24.24        -0         0     100.2     5.752   88.0963   91.3703         0         0   
    8.004     24.27        -0         0     99.53     5.578   88.8426    92.098         0         0   
    8.137     24.08        -0         0     103.9     6.196   89.5772   92.7573         0         0   
    8.271     23.78        -0         0     104.8     6.136   90.3113   93.3896         0         0   
    8.404     23.78        -0         0     104.5     6.782    91.034   94.0886         0         0   
    8.537     23.95        -0         0     105.3      6.32    91.751   94.8253         0         0   
    8.671     24.09        -0         0     106.5     6.257   92.4677   95.5542         0         0   
    8.804      24.7        -0         0     106.9     6.551   93.1736    96.392         0         0   
    8.938     25.98        -0         0     107.9     7.506   93.8795    97.408         0         0   
    9.071     26.64        -0         0       108     7.682   94.5748   98.2552         0         0   
    9.204     26.38        -0         0     105.7     7.315   95.2651   98.8501         0         0   
    9.338     26.29        -0         0     105.9     7.496   95.9555   99.4918         0         0   
    9.471     27.41        -0         0     105.9      7.58   96.6359   100.448         0         0   
    9.605     28.94        -0         0       107     7.131   97.3165   101.528         0         0   
    9.738     30.22        -0         0     108.7      6.23   97.9874   102.542         0         0   
    9.871     30.61        -0         0     110.8     5.671   98.6537   103.293         0         0   
       10     30.38        -0         0       112     5.477   99.2957   103.839         0         0   
    10.14     30.34        -0         0     111.3     5.511   99.9878    104.49         0         0   
    10.27     30.88        -0         0     110.3     5.393   100.626   105.258         0         0   
    10.41     32.44        -0         0       110     5.502   101.309   106.376         0         0   
    10.54      33.4        -0         0     109.1     5.663   101.939   107.271         0         0   
    10.67     34.06        -0         0     110.8     5.623   102.565   108.073         0         0   
    10.81     35.01        -0         0       111     5.061   103.235    109.01         0         0   
    10.94     36.07        -0         0     110.2     4.865   103.854   109.939         0         0   
    11.07     37.27        -0         0     109.6     5.288   104.468   110.917         0         0   
    11.21     38.41        -0         0       111      5.15   105.126   111.923         0         0   
    11.34     39.02        -0         0     110.8      5.41   105.733   112.704         0         0   
    11.47     39.21        -0         0     110.8     5.392   106.337   113.336         0         0   
    11.61      40.2        -0         0     111.3      5.31   106.983   114.287         0         0   
    11.74     41.34        -0         0     111.8      5.38    107.58    115.25         0         0   
    11.87     42.22        -0         0     112.7     5.279   108.173   116.121         0         0   
    12.01     43.47        -0         0     113.4     5.305   108.809   117.171         0         0   
    12.14     44.43        -0         0     113.3     5.363   109.396   118.074         0         0   
    12.27     44.92        -0         0     113.9     5.657   109.979   118.799         0         0   
    12.41     45.56        -0         0       114     6.213   110.604    119.62         0         0   
    12.54      46.3        -0         0     113.3      6.57   111.181   120.437         0         0   
    12.67     46.54        -0         0     113.2     6.817   111.755   121.059         0         0   
    12.81     47.07        -0         0       113     6.983   112.371   121.831         0         0   
    12.94     47.71        -0         0     113.9     7.577   112.939   122.603         0         0   
    13.07     48.48        -0         0     114.5     7.408   113.504   123.424         0         0   
