#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:44:46 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:44:46	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/234/18/table1&-out.max=unlimited&-out=Name,RAJ2000,DEJ2000,Dist,e_Dist,T,3.6mag,e_3.6mag,Group	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22340018
#Name: J/ApJS/234/18
#Title: GALEX/S4G surface brightness profiles. I. (Bouquin+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	creator=Bouquin A.Y.K.	    First author or institution
#INFO	cites=bibcode:2018ApJS..234...18B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/234/18	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22340018	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-07-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_234_18_table1:
#Name: J/ApJS/234/18/table1
#Title: The GALEX/S^4^G sample
#Column	Name	(a10)	Galaxy identifier using S^4^G nomenclature	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F4.1)	[0.4/94.1] Redshift-independent distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F6.1)	[0/50.1]? Standard deviation in Dist (1)	[ucd=stat.error]
#Column	T	(F4.1)	[-5/10] Numerical morphological type from RC2 from HyperLEDA	[ucd=src.morph.type]
#Column	3.6mag	(F6.3)	[6.3/17.3] Spitzer/IRAC 3.6um band asymptotic AB magnitude (3)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_3.6mag	(F6.3)	[0.001/0.4] The 1{sigma} uncertainty in 3.6mag	[ucd=stat.error]
#Column	Group	(A4)	Group identifier (4)	[ucd=meta.id]
Name	RAJ2000	DEJ2000	Dist	e_Dist	T	3.6mag	e_3.6mag	Group
 	deg	deg	Mpc	Mpc	 	mag	mag	
----------	----------	----------	----	------	----	------	------	----
UGC00017  	000.929725	+15.218985	13.0	      	 9.1	14.880	 0.006	1211
ESO409-015	001.383640	-28.099908	 9.8	      	 5.4	15.873	 0.001	0
ESO293-034	001.583550	-41.497280	18.3	      	 6.2	11.612	 0.001	0
NGC0007   	002.087407	-29.914812	21.9	   1.6	 4.8	14.021	 0.002	1096
IC1532    	002.468434	-64.372169	28.7	   5.3	 4.0	14.590	 0.004	1031
NGC0024   	002.484438	-24.964018	 6.9	   2.8	 5.1	11.492	 0.001	355
ESO293-045	002.853125	-41.398099	27.9	   5.5	 7.8	15.784	 0.007	0
UGC00122  	003.323550	+17.029280	11.6	   0.7	 9.6	15.815	 0.029	0
UGC00132  	003.503175	+12.963801	22.4	      	 7.9	14.585	 0.001	0
NGC0059   	003.854846	-21.444339	 4.9	   0.6	-2.9	12.749	 0.001	0
UGC00156  	004.199970	+12.350260	15.9	      	 9.8	14.176	 0.001	0
NGC0063   	004.439552	+11.450338	18.8	   0.2	-3.4	11.838	 0.001	1213
ESO539-007	004.701543	-19.007968	25.6	      	 8.7	15.256	 0.011	0
ESO150-005	005.607727	-53.648004	15.2	   2.2	 7.8	14.083	 0.006	0
NGC0100   	006.011113	+16.486026	16.4	   3.1	 5.9	13.002	 0.002	1214
NGC0115   	006.692700	-33.677098	30.7	   5.3	 3.9	13.752	 0.001	1097
UGC00260  	006.762137	+11.583803	32.3	   2.3	 5.8	12.767	 0.001	1188
ESO410-012	007.073298	-27.982521	20.6	      	 4.6	16.736	 0.006	0
UGC00290  	007.284883	+15.899069	 9.0	   0.2	 9.5	16.412	 0.005	0
NGC0131   	007.410483	-33.259902	18.8	      	 3.0	13.036	 0.002	0
UGC00313  	007.858420	+06.206820	27.8	      	 4.3	13.976	 0.004	0
ESO079-003	008.009728	-64.253213	39.0	   4.1	 3.1	11.604	 0.001	0
UGC00320  	008.128720	+02.574640	40.8	   4.7	 6.1	15.949	 0.001	0
IC1553    	008.167184	-25.607556	33.4	   1.6	 7.0	12.970	 0.001	1300
ESO410-018	008.545903	-30.774519	19.0	      	 8.9	14.536	 0.057	0
NGC0150   	008.564448	-27.803522	21.0	   3.3	 3.4	10.918	 0.001	1100
NGC0148   	008.564559	-31.785999	18.4	      	-2.0	11.744	 0.001	0
IC1555    	008.636397	-30.017818	23.1	   2.0	 7.0	14.438	 0.001	1096
NGC0157   	008.694906	-08.396344	19.5	   5.4	 4.0	10.066	 0.001	1105
IC1558    	008.946172	-25.374404	13.7	   4.6	 9.0	13.337	 0.002	1100
NGC0178   	009.784857	-14.172626	18.4	      	 8.7	13.193	 0.001	0
NGC0210   	010.145717	-13.872773	21.0	   1.3	 3.1	10.792	 0.001	1102
ESO079-005	010.182495	-63.441987	23.5	   2.8	 7.0	13.866	 0.004	1032
