Name	RAJ2000	DEJ2000	Dist	T	3_6mag	FUVmag	NUVmag	Nsb
"ESO013-016"	23.201707	-79.47388	23.0	7.5	13.127	14.8	14.57	23
"ESO026-001"	306.246017	-81.576532	19.2	5.9	13.387	14.75	14.64	16
"ESO027-001"	328.110719	-81.530872	18.3	5.0	11.515	14.22	13.84	29
"ESO027-008"	335.768204	-79.996981	31.0	5.1	11.683	15.9	15.24	35
"ESO048-017"	332.228699	-73.382242	29.5	6.9	14.726	16.16	15.91	17
"ESO079-003"	8.009728	-64.253213	39.0	3.1	11.604	16.66	16.14	32
"ESO079-005"	10.182495	-63.441987	23.5	7.0	13.866	15.28	14.97	20
"ESO079-007"	12.517568	-66.552204	25.2	4.0	13.57	15.21	14.94	17
"ESO085-014"	73.68245	-62.800049	15.9	9.0	13.339	14.43	13.95	31
"ESO085-030"	75.373662	-63.293363	31.1	-0.4	13.227	15.6	15.28	14
