#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:44:48 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:44:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/234/18/table3&-out.max=unlimited&-out=Name,sma,mu36corr,e_mu36corr,ell,tmagcorr,e_tmagcorr	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22340018
#Name: J/ApJS/234/18
#Title: GALEX/S4G surface brightness profiles. I. (Bouquin+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	creator=Bouquin A.Y.K.	    First author or institution
#INFO	cites=bibcode:2018ApJS..234...18B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/234/18	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22340018	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-07-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_234_18_table3:
#Name: J/ApJS/234/18/table3
#Title: Surface brightness data for the 1931 galaxies
#Column	Name	(a10)	Galaxy identifier using S^4^G nomenclature	[ucd=meta.id;meta.main]
#Column	sma	(I3)	[6/498] Semi-major axis steps in arcsec	[ucd=phys.angSize;src]
#Column	mu36corr	(F6.3)	[14/39]? 3.6um aperture-corrected surface brightness (1)	[ucd=phot.mag.sb;em.IR.3-4um]
#Column	e_mu36corr	(F9.3)	[0/21707]? 1{sigma} uncertainty in SB36 (1)	[ucd=stat.error]
#Column	ell	(F6.3)	Ellipticity	[ucd=src.ellipticity]
#Column	tmagcorr	(F6.3)	[6/22]? 3.6um aperture-corrected AB magnitude inside aperture (1)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_tmagcorr	(F6.3)	[0/1.1]? 1{sigma} uncertainty in tmagcorr (1)	[ucd=stat.error]
Name	sma	mu36corr	e_mu36corr	ell	tmagcorr	e_tmagcorr
 	arcsec	mag/arcsec2	mag/arcsec2	 	mag	mag
----------	---	------	---------	------	------	------
ESO013-016	  6	21.019	    0.005	 0.333	15.957	 0.004
ESO013-016	 12	21.606	    0.008	 0.333	14.891	 0.005
ESO013-016	 18	21.958	    0.011	 0.333	14.399	 0.006
ESO013-016	 24	22.177	    0.013	 0.333	14.006	 0.008
ESO013-016	 30	22.552	    0.018	 0.333	13.721	 0.009
ESO013-016	 36	22.896	    0.025	 0.333	13.562	 0.011
ESO013-016	 42	23.140	    0.031	 0.333	13.436	 0.013
ESO013-016	 48	23.504	    0.043	 0.333	13.335	 0.015
ESO013-016	 54	23.916	    0.062	 0.333	13.262	 0.017
ESO013-016	 60	24.344	    0.092	 0.333	13.213	 0.020
ESO013-016	 66	24.812	    0.142	 0.333	13.178	 0.023
ESO013-016	 72	25.461	    0.258	 0.333	13.152	 0.027
ESO013-016	 78	25.961	    0.408	 0.333	13.136	 0.031
ESO013-016	 84	27.036	    1.098	 0.333	13.129	 0.035
ESO013-016	 90	27.955	    2.557	 0.333	13.126	 0.040
ESO013-016	 96	      	         	 0.333	13.125	 0.046
ESO013-016	102	      	         	 0.333	13.127	 0.052
ESO013-016	108	      	         	 0.333	13.129	 0.059
ESO013-016	114	      	         	 0.333	13.130	 0.066
ESO013-016	120	      	         	 0.333	13.131	 0.074
ESO013-016	126	28.235	    3.300	 0.333	13.132	 0.081
ESO013-016	132	29.769	   13.553	 0.333	13.132	 0.088
ESO013-016	138	      	         	 0.333	13.132	 0.096
ESO026-001	  6	21.407	    0.006	 0.053	15.606	 0.003
ESO026-001	 12	22.332	    0.014	 0.053	14.984	 0.006
ESO026-001	 18	22.476	    0.016	 0.053	14.602	 0.008
ESO026-001	 24	22.468	    0.015	 0.053	14.213	 0.010
ESO026-001	 30	22.920	    0.023	 0.053	13.932	 0.012
ESO026-001	 36	23.300	    0.032	 0.053	13.737	 0.014
ESO026-001	 42	23.743	    0.049	 0.053	13.614	 0.017
ESO026-001	 48	24.319	    0.082	 0.053	13.518	 0.021
ESO026-001	 54	25.065	    0.164	 0.053	13.468	 0.025
ESO026-001	 60	25.854	    0.338	 0.053	13.444	 0.030
ESO026-001	 66	26.207	    0.467	 0.053	13.429	 0.035
ESO026-001	 72	26.378	    0.547	 0.053	13.417	 0.041
ESO026-001	 78	26.928	    0.906	 0.053	13.407	 0.048
ESO026-001	 84	27.276	    1.248	 0.053	13.400	 0.055
ESO026-001	 90	27.498	    1.530	 0.053	13.397	 0.062
