recno	Name	r	Vrot	e_Vrot
1143	"DDO185"	-89.7	-50.01	8.7
1144	"DDO185"	-87.9	-56.56	6.11
1145	"DDO185"	-86.1	-46.43	5.89
1146	"DDO185"	-84.3	-45.43	4.54
1147	"DDO185"	-82.5	-41.48	3.13
1148	"DDO185"	-80.7	-38.1	3.26
1149	"DDO185"	-78.9	-35.79	1.75
1150	"DDO185"	-77.1	-34.07	1.34
1151	"DDO185"	-75.3	-32.52	0.91
1152	"DDO185"	-73.5	-30.73	0.77
1153	"DDO185"	-71.7	-28.73	0.7
1154	"DDO185"	-69.9	-27.43	0.97
1155	"DDO185"	-68.1	-27.19	1.32
1156	"DDO185"	-66.3	-26.64	2.48
1157	"DDO185"	-64.5	-26.18	3.85
1158	"DDO185"	-14.1	-7.89	6.44
1159	"DDO185"	-12.3	-9.36	4.48
1160	"DDO185"	-10.5	-4.86	2.45
1161	"DDO185"	-8.7	-7.18	1.37
1162	"DDO185"	-6.9	-3.32	0.82
1163	"DDO185"	-5.1	-3.05	0.63
1164	"DDO185"	-3.3	-1.34	0.66
1165	"DDO185"	-1.5	0.58	0.77
1166	"DDO185"	0.3	-0.22	1.44
1167	"DDO185"	2.1	-0.14	3.71
1168	"DDO185"	3.9	-1.74	5.88
1169	"DDO185"	11.1	2.51	7.24
1170	"DDO185"	59.7	24.09	12.42
1171	"DDO185"	61.5	13.09	15.7
1172	"DDO185"	63.3	22.9	9.51
1173	"DDO185"	65.1	21.43	7.5
1174	"DDO185"	66.9	28.78	7.71
1175	"DDO185"	68.7	37.08	5.9
1176	"DDO185"	70.5	34.56	8.25
1177	"DDO185"	72.3	34.14	5.57
1178	"DDO185"	74.1	32.67	4.18
1179	"DDO185"	75.9	41.44	5.53
1180	"DDO185"	77.7	41.55	6.34
1181	"DDO185"	79.5	34.68	7.69
1182	"DDO185"	81.3	34.94	5.0
1183	"DDO185"	83.1	45.89	8.87
1184	"DDO185"	84.9	48.01	15.96
1185	"DDO189"	-62.7	58.5	15.68
1186	"DDO189"	-57.3	38.5	12.63
1187	"DDO189"	-51.9	44.4	12.9
1188	"DDO189"	-46.5	40.8	8.77
1189	"DDO189"	-30.3	26.4	11.52
1190	"DDO189"	-24.9	32.4	11.81
1191	"DDO189"	-3.3	13.0	12.05
1192	"DDO189"	2.1	-8.5	9.03
1193	"DDO189"	7.5	-12.2	5.26
1194	"DDO189"	12.9	-17.1	6.04
1195	"DDO189"	18.3	-34.8	8.07
1196	"DDO189"	23.7	-20.0	4.72
1197	"DDO189"	29.1	-9.3	4.02
1198	"DDO189"	56.1	-50.0	13.05
1199	"DDO47"	-72.0	17.51	8.66
1200	"DDO47"	-70.2	17.61	17.88
1201	"DDO47"	-68.4	18.76	15.27
1202	"DDO47"	-19.8	10.49	12.43
1203	"DDO47"	-18.0	8.87	4.49
1204	"DDO47"	-16.2	3.29	3.51
1205	"DDO47"	-14.4	11.13	2.84
1206	"DDO47"	-12.6	4.06	3.08
1207	"DDO47"	-10.8	8.58	5.82
1208	"DDO47"	-9.0	12.81	10.52
1209	"DDO47"	46.8	-16.12	9.88
1210	"DDO47"	48.6	-17.24	6.49
1211	"DDO47"	50.4	-13.27	9.62
1212	"DDO47"	52.2	-6.37	7.52
1213	"DDO47"	54.0	-16.97	8.8
1214	"DDO47"	55.8	-29.9	9.92
1215	"DDO47"	57.6	-22.79	7.76
1216	"DDO47"	59.4	-31.08	20.82
1217	"DDO47"	63.0	-17.57	7.61
1218	"DDO47"	64.8	-32.69	24.17
1219	"DDO47"	66.6	-13.52	17.16
1220	"DDO47"	68.4	-22.67	5.52
1221	"DDO47"	70.2	-17.28	9.09
1222	"DDO47"	72.0	-12.82	29.68
1223	"DDO47"	73.8	-32.82	22.72
1224	"DDO47"	77.4	-23.35	15.69
1225	"DDO52"	-19.8	-17.85	8.56
1226	"DDO52"	-18.0	-12.93	8.67
1227	"DDO52"	-16.2	-9.33	6.22
1228	"DDO52"	-14.4	-7.62	2.11
1229	"DDO52"	-12.6	-8.45	1.46
1230	"DDO52"	-10.8	-7.41	1.09
1231	"DDO52"	-9.0	-4.51	0.98
1232	"DDO52"	-7.2	-0.74	2.53
1233	"DDO52"	-5.4	-1.62	7.87
1234	"DDO52"	5.4	5.14	10.6
1235	"DDO52"	9.0	6.4	2.96
1236	"DDO52"	10.8	7.48	2.17
1237	"DDO52"	12.6	6.77	1.34
1238	"DDO52"	14.4	7.16	0.9
1239	"DDO52"	16.2	6.97	0.87
1240	"DDO52"	18.0	8.41	1.35
1241	"DDO52"	19.8	6.17	3.04
1242	"DDO52"	21.6	18.58	6.04
1243	"DDO52"	23.4	23.84	7.68
1244	"DDO52"	25.2	34.93	3.74
1245	"DDO52"	27.0	33.4	5.12
1246	"DDO52"	28.8	35.17	14.64
1247	"DDO52"	30.6	34.48	13.58
1248	"DDO64"	-72.0	44.06	4.31
1249	"DDO64"	-70.2	38.74	3.52
1250	"DDO64"	-68.4	34.91	3.47
1251	"DDO64"	-66.6	41.35	3.6
1252	"DDO64"	-64.8	39.18	2.73
1253	"DDO64"	-63.0	41.21	2.6
1254	"DDO64"	-61.2	39.35	2.76
1255	"DDO64"	-59.4	40.56	4.54
1256	"DDO64"	-57.6	43.0	5.46
1257	"DDO64"	-55.8	36.61	9.8
1258	"DDO64"	-50.4	39.19	7.82
1259	"DDO64"	-48.6	40.86	5.68
1260	"DDO64"	-46.8	34.73	3.86
1261	"DDO64"	-45.0	35.56	1.92
1262	"DDO64"	-43.2	32.93	1.4
1263	"DDO64"	-41.4	33.02	1.26
