recno	Galaxy	M*	Dist	hz	e_hz1	e_hz2	Ropt	VHI	V36max	e_V36max1	e_V36max2	V36maxRad	e_V36maxRad1	e_V36maxRad2	V36Ropt	e_V36Ropt1	e_V36Ropt2	dRV36	e_dRV361	e_dRV362	ahalo	Vinfhalo	Mh/M*	bar	_RA	_DE
1	"ESO012-010"	4285479936	32.75	3.555	2.844	-0.889	108.651	119.592	46.684	-1.529	0.535	65.25	1.5	0.0	42.229	-0.678	0.216	24.805	-4.35	2.16	17.859	160.908	9.419	*	359.115	-81.56639
2	"ESO013-016"	3664379904	23.017	2.221	1.776	-0.555	67.388	100.36	63.868	-1.61	0.53	50.25	0.0	0.0	60.841	-1.028	0.318	65.011	-11.26	5.62	7.964	116.67	2.309	*	23.20167	-79.47389
3	"ESO026-001"	2360480000	19.16	1.993	1.594	-0.498	62.109	133.719	61.448	-1.808	0.613	44.25	0.0	0.0	53.307	-0.662	0.188	164.59	-31.41	15.9	5.431	168.159	7.101	*	306.25922	-81.57529
4	"ESO027-001"	9976989696	18.308	4.457	2.971	-1.273	78.956	97.026	104.505	-4.121	1.986	48.75	1.5	0.0	93.649	-1.908	0.819	283.094	-46.29	30.33			0.099	*	328.11014	-81.53076
5	"ESO048-017"	1592210048	29.52	2.112	1.69	-0.528	66.098	79.42	38.205	-0.979	0.326	48.75	0.0	0.0	36.27	-0.691	0.222	39.21	-7.1	3.62	8.418	95.06	5.092	 	332.2319	-73.38196
6	"ESO054-021"	3515599872	16.475	5.102	4.082	-1.276	150.752	111.43	49.728	-1.288	0.433	102.75	0.0	0.0	49.074	-0.963	0.321	44.05	-6.46	2.94	12.696	145.289	5.576	 	57.45602	-71.63538
7	"ESO079-005"	1990669952	23.483	2.31	2.31	-1.155	67.302	92.718	51.054	-2.157	1.226	39.75	1.5	0.0	43.571	-0.76	0.358	32.523	-6.1	6.23	7.286	109.434	4.734	 	10.18523	-63.44029
8	"ESO079-007"	2958010112	25.22	1.541	1.232	-0.385	46.385	89.542	59.653	-1.346	0.441	38.25	0.0	0.0	57.875	-1.008	0.32	65.148	-10.71	5.26	5.572	96.254	1.87	*	12.51717	-66.55275
9	"ESO085-030"	6338699776	31.075	2.27	2.27	-1.135	50.855	116.133	94.883	-7.051	4.672	17.25	1.5	-1.5	68.004	-1.107	0.456	111.352	-23.25	24.67	8.18	126.254	2.571	 	75.374	-63.29334
10	"ESO085-047"	331131008	16.7	2.378	1.903	-0.595	75.0	35.824	21.488	-0.634	0.222	72.75	0.0	0.0	21.488	-0.634	0.222	11.856	-1.14	0.52	4.602	37.446	2.388	 	76.93292	-62.99
