#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T05:25:49 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T05:25:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/galaxies&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73880500
#Name: J/MNRAS/388/500
#Title: GHASP: H{alpha} data cubes for 108 galaxies (Epinat+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	creator=Epinat B.	    First author or institution
#INFO	cites=bibcode:2008MNRAS.388..500E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/388/500	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73880500	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_388_500_galaxies:
#Name: J/MNRAS/388/500/galaxies
#Title: Model and galaxy parameters
#Column	Name	(a9)	Name	[ucd=meta.id;meta.main]
#Column	Vsys-L	(I4)	Systemic velocity found in HyperLeda data base	[ucd=phys.veloc]
#Column	Vsys-FP	(I4)	? Systemic velocity deduced from our velocity field analysis	[ucd=phys.veloc]
#Column	i-L	(I2)	Morphological inclination from HyperLeda	[ucd=src.morph]
#Column	i-FP	(I2)	? Inclination deduced from the analysis of our velocity field	[ucd=src.orbital.inclination]
#Column	l_Vres	(A1)	Limit flag on Res	[ucd=meta.code.error]
#Column	Vres	(F7.1)	? Mean residual velocity in the whole velocity field	[ucd=stat.fit.residual;phys.veloc;stat.mean]
#Column	sigres	(I2)	? Residual velocity dispersion in the whole velocity field	[ucd=stat.fit.residual;phys.veloc]
#Column	chi2	(F4.1)	? Reduced {chi}^2^ of the model	[ucd=stat.fit.chi2]
#Column	T	(F4.1)	RC3 morphological type from HyperLeda data base	[ucd=src.morph.type]
#Column	MType	(a11)	Morphological type from the HyperLeda data base	[ucd=src.morph.type]
#Column	Dist	(F5.1)	Distance (1)	[ucd=pos.distance]
#Column	i	(I2)	Inclination derived from the axial ratio, arccos(b/a)	[ucd=src.orbital.inclination]
#Column	D25	(I3)	Isophotal radius at the limiting surface brightness of 25Bmag/arcsec^2^	[ucd=phys.angSize]
#Column	Vmax	(I3)	? Maximum velocity (3)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	q_Vmax	(I1)	[1/4]? Quality flag on Vmax (5)	[ucd=meta.code.qual]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Vsys-L	Vsys-FP	i-L	i-FP	l_Vres	Vres	sigres	chi2	T	MType	Dist	i	D25	Vmax	q_Vmax	Simbad	NED	LEDA	_RA	_DE
 	km/s	km/s	deg	deg	 	m/s	km/s	 	 	 	Mpc	deg	arcsec	km/s	 	 	 	 	deg	deg
---------	----	----	--	--	-	-------	--	----	----	-----------	-----	--	---	---	-	------	---	----	---------	---------
UGC 12893	1102	1097	30	19	 	  -28.1	 8	 1.2	 8.4	Sd         	 12.5	27	 34	 72	2	Simbad	NED	LEDA	000.11729	+17.21886
UGC 89   	4564	4510	40	33	 	   42.5	23	 8.6	 1.2	SBa        	 64.2	38	 46	343	1	Simbad	NED	LEDA	002.47246	+25.92406
UGC 94   	4592	4548	50	42	 	   -3.9	13	 2.7	 2.4	S(r)ab     	 64.2	47	 34	209	1	Simbad	NED	LEDA	002.60858	+25.83197
UGC 1013 	5190	    	80	  	 	       	  	    	 3.1	SB(r)b pec 	 70.8	72	 88	   	 	Simbad	NED	LEDA	021.59137	+34.70300
NGC 542  	4660	    	90	  	 	       	  	    	 2.8	Sb pec     	 63.7	77	 34	125	2	Simbad	NED	LEDA	021.62883	+34.67550
UGC 1317 	3111	3090	75	73	 	   -1.3	15	 3.3	 4.9	SAB(r)c    	 42.2	71	114	205	1	Simbad	NED	LEDA	027.82321	+22.35797
UGC 1437 	4893	4858	52	47	 	   -0.8	18	 5.2	 4.9	SABc       	 66.8	51	 43	218	1	Simbad	NED	LEDA	029.42579	+35.91614
UGC 1655 	5340	5427	45	45	 	-2744.9	30	15.4	 1.0	Sa         	 73.0	42	 86	205	4	Simbad	NED	LEDA	032.53992	+39.19039
UGC 1810 	7556	    	75	42	 	       	  	    	 3.1	Sb pec     	102.4	69	 52	   	 	Simbad	NED	LEDA	035.36958	+39.37572
UGC 3056 	-100	    	65	  	 	       	  	    	 9.6	IB         	  2.5	55	119	   	 	Simbad	NED	LEDA	067.70546	+64.84797
UGC 3334 	3934	3952	47	47	 	    9.9	54	46.0	 4.2	SABb       	 55.6	45	132	377	1	Simbad	NED	LEDA	085.52262	+69.37842
UGC 3382 	4497	4489	21	21	 	  -11.5	16	 4.1	 1.0	SB(r)a     	 62.8	20	 38	322	2	Simbad	NED	LEDA	089.94912	+62.15800
UGC 3463 	2692	2679	63	63	 	   -0.1	15	 3.6	 4.7	SABc       	 38.6	61	 66	168	1	Simbad	NED	LEDA	096.73254	+59.07997
UGC 3521 	4426	4415	61	58	 	    3.2	16	 4.1	 4.8	Sc         	 62.6	59	 35	167	3	Simbad	NED	LEDA	103.75233	+84.04200
UGC 3528 	4421	4340	59	42	 	  -17.8	32	17.6	 2.0	SBab       	 61.8	55	 41	276	2	Simbad	NED	LEDA	104.04483	+84.07894
UGC 3618 	5851	    	49	  	 	       	  	    	 2.0	Sab        	 80.0	46	 44	   	 	Simbad	NED	LEDA	104.65679	+45.21061
UGC 3685 	1796	1795	55	12	 	   -1.3	 9	 1.4	 3.0	SB(r)b     	 26.3	52	 57	133	3	Simbad	NED	LEDA	107.27425	+61.59519
UGC 3708 	5201	5161	16	44	 	  -11.6	18	 5.4	 4.5	Sbc pec    	 70.0	15	 25	235	1	Simbad	NED	LEDA	107.29958	+20.60361
UGC 3709 	5223	5292	46	55	 	   -4.7	18	 5.3	 5.7	Sc         	 70.7	45	 35	241	1	Simbad	NED	LEDA	107.32617	+20.63550
UGC 3826 	1733	1724	30	20	 	  135.4	 9	 1.2	 6.5	SABc       	 25.7	29	 98	 74	1	Simbad	NED	LEDA	111.11575	+61.69397
UGC 3740 	2417	2416	40	48	<	    0.1	11	 1.7	 5.4	SAB(r)c pec	 17.1	39	 67	 87	2	Simbad	NED	LEDA	111.82292	+85.75392
UGC 3876 	 860	 854	61	59	 	   -0.2	10	 1.6	 6.5	Scd        	 14.5	60	 57	112	2	Simbad	NED	LEDA	112.32325	+27.90019
