recno	Name	r	e_r	r2	e_r2	Vrot	e_Vrot	NBins	Side
1233	"IC 2542"	0.42	0.0	1.0	0.0	104	48	1	r
1234	"IC 2542"	0.46	0.0	1.1	0.0	78	48	1	a
1235	"IC 2542"	1.27	0.23	3.1	0.6	104	21	3	r
1236	"IC 2542"	1.33	0.23	3.3	0.6	83	10	5	a
1237	"IC 2542"	2.1	0.22	5.2	0.5	201	48	4	r
1238	"IC 2542"	2.12	0.3	5.2	0.7	129	38	4	a
1239	"IC 2542"	3.5	0.56	8.7	1.4	253	17	21	a
1240	"IC 2542"	3.82	0.71	9.4	1.8	259	11	21	r
1241	"IC 2542"	5.25	0.54	13.0	1.3	275	16	21	a
1242	"IC 2542"	5.92	0.69	14.6	1.7	279	21	20	r
1243	"IC 2542"	7.71	1.07	19.1	2.6	292	13	21	a
658	"IC 476"	0.31	0.0	1.0	0.0	40	19	1	a
659	"IC 476"	0.4	0.0	1.3	0.0	41	19	1	r
660	"IC 476"	0.68	0.05	2.2	0.2	43	2	2	r
661	"IC 476"	0.98	0.06	3.2	0.2	50	19	3	a
662	"IC 476"	1.27	0.0	4.1	0.0	48	19	1	r
663	"IC 476"	2.4	0.77	7.7	2.5	71	8	12	r
664	"IC 476"	2.42	0.68	7.8	2.2	67	10	11	a
3699	"NGC 5296"	0.18	0.03	1.1	0.2	9	4	2	r
3700	"NGC 5296"	0.21	0.01	1.3	0.1	2	7	2	a
3701	"NGC 5296"	0.36	0.07	2.3	0.4	21	1	5	a
3702	"NGC 5296"	0.36	0.08	2.3	0.5	21	3	5	r
3703	"NGC 5296"	0.54	0.0	3.4	0.0	28	7	1	a
3704	"NGC 5296"	0.57	0.03	3.6	0.2	39	1	4	r
3705	"NGC 5296"	0.82	0.04	5.2	0.3	57	3	4	a
3706	"NGC 5296"	0.85	0.04	5.3	0.3	56	4	3	r
3707	"NGC 5296"	1.35	0.26	8.5	1.6	71	1	2	r
3708	"NGC 5296"	1.53	0.29	9.6	1.8	79	1	7	a
4515	"UGC 10075"	0.05	0.0	0.7	0.0	-38	7	1	r
4516	"UGC 10075"	0.1	0.0	1.4	0.0	25	7	1	a
4517	"UGC 10075"	0.14	0.03	2.0	0.4	4	6	2	r
4518	"UGC 10075"	0.2	0.0	2.8	0.0	0	7	1	a
4519	"UGC 10075"	0.26	0.0	3.6	0.0	-4	7	1	a
4520	"UGC 10075"	0.26	0.02	3.6	0.3	17	4	3	r
4522	"UGC 10075"	0.4	0.02	5.6	0.3	24	2	6	r
4521	"UGC 10075"	0.4	0.04	5.6	0.6	38	7	4	a
4523	"UGC 10075"	0.51	0.04	7.2	0.6	33	4	4	r
4524	"UGC 10075"	0.52	0.03	7.3	0.4	55	5	4	a
4525	"UGC 10075"	0.6	0.03	8.4	0.4	59	4	5	a
4526	"UGC 10075"	0.62	0.04	8.7	0.6	54	6	8	r
4527	"UGC 10075"	0.7	0.03	9.8	0.4	70	7	5	a
4528	"UGC 10075"	0.74	0.03	10.4	0.4	50	7	6	r
4530	"UGC 10075"	0.84	0.03	11.8	0.4	65	5	6	r
4529	"UGC 10075"	0.84	0.02	11.8	0.3	78	2	7	a
4531	"UGC 10075"	0.96	0.03	13.5	0.4	83	5	6	r
4532	"UGC 10075"	0.97	0.02	13.6	0.3	85	7	5	a
4533	"UGC 10075"	1.06	0.02	14.9	0.3	80	3	6	a
4534	"UGC 10075"	1.08	0.04	15.2	0.6	85	7	6	r
4535	"UGC 10075"	1.17	0.03	16.4	0.4	96	5	5	a
4536	"UGC 10075"	1.17	0.03	16.4	0.4	84	5	8	r
4537	"UGC 10075"	1.28	0.04	18.0	0.6	87	2	11	a
4538	"UGC 10075"	1.29	0.04	18.1	0.6	94	3	9	r
4540	"UGC 10075"	1.4	0.02	19.6	0.3	101	4	6	r
4539	"UGC 10075"	1.4	0.02	19.6	0.3	90	4	8	a
4541	"UGC 10075"	1.5	0.03	21.0	0.4	96	3	9	r
4542	"UGC 10075"	1.51	0.03	21.2	0.4	96	2	12	a
4543	"UGC 10075"	1.61	0.02	22.6	0.3	100	2	11	r
4544	"UGC 10075"	1.64	0.03	23.0	0.4	100	2	14	a
4545	"UGC 10075"	1.74	0.04	24.4	0.6	96	2	12	r
