recno	HRS	r	s_r	rang	s_rang	v	s_v	Nbins	side
1	63	4.68	0.07	56.8	0.9	150	3	24	r
2	63	4.72	0.03	57.2	0.3	148	2	24	a
3	63	4.86	0.05	59.0	0.6	151	2	24	a
4	63	5.02	0.05	60.9	0.6	160	3	24	a
5	63	5.11	0.18	62.0	2.2	152	3	24	r
6	63	5.21	0.07	63.2	0.8	153	2	24	a
7	63	5.46	0.08	66.2	0.9	160	2	24	a
8	63	5.64	0.13	68.5	1.6	159	3	24	r
9	63	5.72	0.07	69.4	0.9	163	2	24	a
10	63	5.96	0.07	72.4	0.8	167	2	24	a
11	63	6.24	0.08	75.7	1.0	166	3	24	a
12	63	6.33	0.27	76.8	3.3	152	2	24	r
13	63	6.77	0.19	82.2	2.4	167	2	24	a
14	63	7.28	0.25	88.3	3.0	161	3	24	r
15	63	7.4	0.22	89.7	2.7	168	2	24	a
16	63	8.31	0.32	100.8	3.9	163	3	21	a
17	63	8.47	0.52	102.8	6.3	154	2	22	r
18	64	0.1	0.0	1.2	0.0	26	4	1	r
19	64	0.11	0.0	1.4	0.0	-4	4	1	a
20	64	0.31	0.0	3.7	0.0	22	4	1	r
21	64	0.4	0.0	4.9	0.0	23	4	1	a
22	64	0.51	0.0	6.2	0.0	26	4	1	r
23	64	0.63	0.0	7.6	0.0	47	4	1	a
24	64	0.65	0.01	7.9	0.1	50	3	2	r
25	64	0.71	0.01	8.7	0.2	35	3	2	a
26	64	0.73	0.0	8.9	0.0	41	4	1	r
27	64	0.81	0.0	9.8	0.0	61	4	1	r
28	64	0.86	0.0	10.4	0.0	76	4	1	a
29	64	0.87	0.0	10.6	0.1	47	0	2	r
30	64	1.27	0.18	15.4	2.1	69	3	20	r
31	64	1.5	0.28	18.2	3.4	84	3	20	a
32	64	1.83	0.14	22.1	1.7	89	2	20	r
33	64	2.14	0.15	26.0	1.8	96	2	20	a
34	64	2.39	0.27	29.0	3.2	94	4	19	r
35	64	2.66	0.19	32.3	2.3	98	3	20	a
36	64	3.9	0.33	47.4	4.0	107	2	15	a
37	65	0.2	0.02	2.4	0.3	44	3	3	r
38	65	0.24	0.0	2.9	0.0	8	14	1	a
39	65	0.35	0.0	4.2	0.0	31	14	1	a
40	65	0.44	0.0	5.3	0.0	42	8	2	r
41	65	0.52	0.0	6.3	0.0	49	14	1	r
42	65	0.54	0.01	6.5	0.2	30	8	4	a
43	65	0.64	0.03	7.8	0.4	44	14	3	r
44	65	0.72	0.03	8.7	0.3	51	6	2	a
45	65	0.74	0.01	8.9	0.1	59	5	3	r
46	65	0.81	0.0	9.8	0.0	40	14	1	a
47	65	0.82	0.01	9.9	0.1	53	3	2	r
48	65	0.89	0.03	10.8	0.3	53	8	3	r
49	65	0.89	0.02	10.8	0.2	28	1	3	a
50	65	1.0	0.01	12.2	0.1	58	7	4	r
51	65	1.01	0.0	12.3	0.0	39	14	1	a
52	65	1.05	0.03	12.7	0.3	69	3	4	r
53	65	1.42	0.15	17.2	1.8	58	2	22	r
54	65	1.48	0.19	17.9	2.3	45	2	22	a
55	65	1.72	0.05	20.8	0.6	64	2	22	r
56	65	1.87	0.04	22.7	0.5	63	3	22	r
57	65	1.88	0.07	22.8	0.9	64	2	22	a
58	65	2.01	0.05	24.4	0.6	63	2	22	r
59	65	2.11	0.08	25.7	0.9	70	2	22	a
60	65	2.18	0.08	26.5	1.0	65	2	22	r
61	65	2.41	0.1	29.2	1.2	80	3	22	a
62	65	2.53	0.11	30.7	1.3	64	2	22	r
63	65	2.87	0.14	34.8	1.7	82	3	22	a
64	65	2.91	0.14	35.3	1.7	70	2	22	r
65	65	3.56	0.43	43.2	5.2	83	3	22	a
66	65	3.57	0.24	43.4	2.9	76	3	22	r
67	65	4.38	0.22	53.1	2.6	81	3	22	r
68	65	4.9	0.35	59.4	4.3	93	2	20	a
69	65	5.37	0.57	65.2	6.9	79	2	16	r
70	66	0.13	0.0	1.6	0.0	9	9	2	r
71	66	0.15	0.02	1.8	0.2	26	8	2	a
72	66	0.21	0.03	2.6	0.4	31	8	4	a
73	66	0.22	0.0	2.7	0.0	40	9	1	r
74	66	0.28	0.01	3.4	0.2	47	6	4	r
75	66	0.31	0.02	3.8	0.3	53	5	5	a
76	66	0.38	0.02	4.7	0.2	67	5	5	r
77	66	0.4	0.02	4.8	0.2	68	6	5	a
78	66	0.47	0.02	5.7	0.2	66	7	5	r
79	66	0.48	0.03	5.8	0.3	73	5	7	a
80	66	0.56	0.03	6.8	0.3	76	4	7	a
81	66	0.56	0.03	6.8	0.3	84	3	8	r
82	66	0.64	0.03	7.8	0.3	94	4	6	r
83	66	0.66	0.02	8.0	0.3	89	2	10	a
84	66	0.72	0.02	8.7	0.3	96	3	9	r
85	66	0.73	0.03	8.9	0.3	91	2	14	a
86	66	0.82	0.03	9.9	0.3	98	1	12	a
87	66	0.82	0.03	9.9	0.3	102	4	9	r
88	66	0.9	0.02	10.9	0.3	108	2	22	a
89	66	0.91	0.02	11.1	0.2	110	3	7	r
90	66	0.97	0.02	11.8	0.3	105	3	8	r
91	66	0.99	0.02	12.0	0.3	119	2	21	a
92	66	1.07	0.02	13.0	0.2	121	5	8	r
93	66	1.07	0.02	13.0	0.3	117	1	23	a
94	66	1.15	0.02	14.0	0.3	117	2	24	a
95	66	1.23	0.03	15.0	0.3	117	1	24	a
96	66	1.27	0.08	15.4	1.0	131	2	24	r
97	66	1.31	0.02	15.9	0.3	121	1	24	a
98	66	1.38	0.02	16.7	0.2	123	1	24	a
99	66	1.46	0.02	17.7	0.3	127	2	24	a
100	66	1.52	0.02	18.4	0.2	128	2	24	a
101	66	1.53	0.06	18.5	0.7	135	3	24	r
102	66	1.57	0.02	19.1	0.2	129	1	24	a
103	66	1.62	0.02	19.7	0.2	132	1	24	a
104	66	1.68	0.02	20.4	0.2	135	1	24	a
105	66	1.73	0.01	21.0	0.2	136	2	24	a
106	66	1.74	0.05	21.1	0.7	143	3	24	r
107	66	1.78	0.01	21.5	0.1	139	1	24	a
108	66	1.82	0.01	22.1	0.2	142	2	24	a
109	66	1.87	0.01	22.7	0.2	145	1	24	a
110	66	1.91	0.01	23.2	0.2	145	1	24	a
111	66	1.95	0.01	23.7	0.1	146	1	24	a
112	66	1.97	0.06	23.9	0.8	138	2	24	r
113	66	2.0	0.01	24.2	0.1	146	1	24	a
114	66	2.04	0.01	24.7	0.2	147	1	24	a
115	66	2.08	0.01	25.2	0.2	150	1	24	a
116	66	2.12	0.01	25.7	0.2	146	2	24	a
117	66	2.15	0.05	26.1	0.6	146	2	24	r
118	66	2.17	0.01	26.3	0.2	143	2	24	a
119	66	2.21	0.01	26.8	0.1	148	2	24	a
120	66	2.25	0.01	27.4	0.2	144	2	24	a
121	66	2.3	0.03	27.9	0.4	144	2	24	r
122	66	2.3	0.02	27.9	0.2	151	2	24	a
123	66	2.35	0.01	28.5	0.2	151	2	24	a
124	66	2.4	0.02	29.1	0.2	145	2	24	a
125	66	2.41	0.04	29.2	0.5	144	2	24	r
126	66	2.46	0.02	29.9	0.2	148	2	24	a
127	66	2.51	0.01	30.4	0.2	145	1	24	a
128	66	2.52	0.03	30.6	0.3	150	2	24	r
129	66	2.56	0.02	31.1	0.2	147	2	24	a
130	66	2.62	0.01	31.7	0.2	145	2	24	a
131	66	2.62	0.03	31.8	0.4	154	2	24	r
132	66	2.67	0.02	32.4	0.2	148	2	24	a
133	66	2.72	0.01	33.0	0.2	148	2	24	a
134	66	2.73	0.03	33.1	0.4	149	2	24	r
135	66	2.78	0.02	33.7	0.3	149	1	24	a
136	66	2.83	0.03	34.3	0.4	152	2	24	r
137	66	2.84	0.02	34.5	0.2	148	2	24	a
138	66	2.89	0.01	35.1	0.1	150	2	24	a
139	66	2.92	0.02	35.4	0.3	155	2	24	r
140	66	2.94	0.02	35.6	0.2	147	2	24	a
141	66	2.99	0.02	36.3	0.2	147	1	24	a
142	66	3.01	0.03	36.5	0.3	160	2	24	r
143	66	3.06	0.02	37.1	0.2	151	2	24	a
144	66	3.11	0.02	37.8	0.2	148	2	24	a
145	66	3.12	0.03	37.8	0.4	156	2	24	r
146	66	3.16	0.02	38.4	0.2	153	1	24	a
147	66	3.21	0.01	38.9	0.2	152	1	24	a
148	66	3.23	0.04	39.2	0.4	155	2	24	r
149	66	3.27	0.01	39.7	0.2	151	1	24	a
