#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:14:57 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:14:57	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/PASP/122/261/table1&-out=HRS,NGC,m_NGC,UGC,IC,SimbadName&-out.max=500	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_61220261
#Name: J/PASP/122/261
#Title: Herschel Reference Survey Sample (Boselli+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pasp/122/261	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/pasp/122/261	    IVOID of underlying data collection
#INFO	creator=Boselli A.	    First author or institution
#INFO	cites=bibcode:2010PASP..122..261B	    Article or Data origin sources
#INFO	journal=PASP	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PASP/122/261	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.61220261	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PASP_122_261_table1:
#Name: J/PASP/122/261/table1
#Title: The Herschel Reference Sample
#Column	HRS	(I3)	[1/323] Herschel Reference Sample number	[ucd=meta.id;meta.main]
#Column	NGC	(I4)	? NGC (Cat. VII/118) number	[ucd=meta.id]
#Column	m_NGC	(A1)	[A] Multiplicity index on NGC	[ucd=meta.code.multip]
#Column	UGC	(I4)	? UGC (Cat. VII/26) number	[ucd=meta.id]
#Column	IC	(I4)	? IC (Cat. VII/118) number	[ucd=meta.id]
#Column	SimbadName	(a20)	Simbad column added by the CDS	[ucd=meta.id]
HRS	NGC	m_NGC	UGC	IC	SimbadName
 	 	 	 	 	
---	----	-	----	----	--------------------
  1	    	 	    	    	Z 123-35
  2	    	 	5588	    	UGC 5588
  3	3226	 	5617	    	UGC 5617
  4	3227	 	5620	    	UGC 5620
  5	    	 	    	 610	IC   610
  6	3245	A	5662	    	UGC 5662
  7	3245	 	5663	    	UGC 5663
  8	3254	 	5685	    	UGC 5685
  9	3277	 	5731	    	UGC 5731
 10	    	 	5738	    	UGC 5738
 11	3287	 	5742	    	UGC 5742
 12	    	 	    	    	Z 124-41
 13	3294	 	5753	    	UGC 5753
 14	3301	 	5767	    	UGC 5767
 15	3338	 	5826	    	UGC 5826
 16	3346	 	5842	    	UGC 5842
 17	3370	 	5887	    	UGC 5887
 18	3380	 	5906	    	UGC 5906
 19	3381	 	5909	    	UGC 5909
 20	3395	 	5931	2613	UGC 5931
 21	    	 	5958	    	UGC 5958
 22	3414	 	5959	    	UGC 5959
 23	3424	 	5972	    	UGC 5972
 24	3430	 	5982	    	UGC 5982
 25	3437	 	5995	    	UGC 5995
 26	    	 	5990	    	UGC 5990
 27	3442	 	6001	    	UGC 6001
 28	3451	 	6023	    	UGC 6023
 29	3454	 	6026	    	UGC 6026
 30	3455	 	6028	    	UGC 6028
 31	3448	 	6024	    	UGC 6024
 32	3457	 	6030	    	UGC 6030
 33	3485	 	6077	    	UGC 6077
 34	3501	 	6116	    	UGC 6116
 35	3499	 	6115	    	UGC 6115
 36	3504	 	6118	    	UGC 6118
 37	3512	 	6128	    	UGC 6128
 38	3526	 	6167	    	UGC 6167
 39	    	 	6169	    	UGC 6169
 40	3547	 	6209	    	UGC 6209
 41	3592	 	6267	    	UGC 6267
 42	3596	 	6277	    	UGC 6277
 43	3608	 	6299	    	UGC 6299
 44	    	 	6320	    	UGC 6320
 45	3619	 	6330	    	UGC 6330
 46	3626	 	6343	    	UGC 6343
 47	3629	 	6352	    	UGC 6352
 48	3631	 	6360	    	UGC 6360
 49	3640	 	6368	    	UGC 6368
 50	3655	 	6396	    	UGC 6396
 51	3659	 	6405	    	UGC 6405
 52	3657	 	6406	    	UGC 6406
 53	3666	 	6420	    	UGC 6420
 54	3681	 	6445	    	UGC 6445
