recno	Name	r	r_n	SigmaHI	e_SigmaHI	SigmaH2	e_SigmaH2	Sigma*	e_Sigma*	FUV+24	e_FUV+24	FUV	24
1	"DDO 154 "	0.1	0.08	7.3	0.7			5.0	0.1	10.4	2.2	10.4	0.0
2	"DDO 154 "	0.3	0.25	7.2	0.8			4.5	0.1	9.8	1.2	9.7	0.0
3	"DDO 154 "	0.5	0.42	7.1	0.7			4.1	0.1	8.3	1.3	8.2	0.1
4	"DDO 154 "	0.7	0.59	6.8	0.5			3.4	0.1	6.6	1.8	6.5	0.2
5	"DDO 154 "	0.9	0.76	6.6	0.4			2.3	0.1	5.1	1.6	4.9	0.2
6	"DDO 154 "	1.1	0.93	6.9	0.7			1.8	0.1	3.8	1.1	3.6	0.2
7	"DDO 154 "	1.4	1.1	7.0	0.8			1.5	0.1	2.7	0.9	2.4	0.3
8	"Ho I    "	0.1	0.05	8.2	0.9			3.0	0.2	2.6	0.6	2.4	0.2
9	"Ho I    "	0.3	0.15	9.2	1.6			2.3	0.1	3.0	0.8	2.8	0.2
10	"Ho I    "	0.5	0.25	10.4	2.2			2.5	0.1	3.7	1.1	3.4	0.2
