recno	Name	ASize	PSize	muFUV	e_muFUV	muK	e_muK	(FUV-K)o	e_(FUV-K)o	AFUV	E_AFUV	e_AFUV	(FUV-K)c	E_(FUV-K)c	e_(FUV-K)c	log(sSFR)	E_log(sSFR)	e_log(sSFR)
5	"Arp 256 NED02"	6	3.37	22.91	0.02	18.19	0.1	4.72	0.1	1.08	0.36	0.33	3.69	0.35	0.38	1.07	0.15	0.14
6	"Arp 256 NED02"	12	6.75	23.76	0.03	19.44	0.15	4.32	0.16	1.57	0.4	0.38	2.82	0.41	0.43	1.42	0.17	0.16
7	"Arp 256 NED02"	18	10.12	25.08	0.03	20.72	0.37	4.36	0.37	1.82	0.42	0.4	2.62	0.54	0.56	1.5	0.23	0.22
8	"Arp 256 NED02"	24	13.49	25.19	0.03	20.95	0.41	4.24	0.41	1.36	0.39	0.36	2.95	0.54	0.56	1.37	0.23	0.22
9	"Arp 256 NED02"	30	16.86	25.7	0.03	21.93	0.75	3.77	0.75	1.21	0.37	0.34	2.61	0.82	0.84	1.5	0.34	0.33
2667	"Arp 314 NED01"	6	1.53	22.97	0.02	17.31	0.05	5.66	0.05	1.49	0.4	0.37	4.23	0.37	0.4	0.86	0.16	0.15
2668	"Arp 314 NED01"	12	3.05	23.2	0.02	18.42	0.05	4.78	0.06	1.46	0.4	0.36	3.39	0.37	0.4	1.19	0.16	0.15
2669	"Arp 314 NED01"	18	4.58	23.97	0.02	19.33	0.13	4.64	0.13	1.55	0.4	0.37	3.16	0.4	0.42	1.29	0.17	0.16
2670	"Arp 314 NED01"	24	6.11	25.46	0.03	20.26	0.2	5.2	0.2	1.71	0.42	0.39	3.56	0.44	0.46	1.12	0.18	0.17
2671	"Arp 314 NED01"	30	7.63	26.69	0.07	21.63	0.61	5.06	0.61	2.04	0.44	0.42	3.11	0.74	0.76	1.3	0.3	0.3
