recno	Name	Arad	Lrad	FUV	e_FUV	NUV	e_NUV	B	e_B	V	e_V	R	e_R	I	e_I	J	e_J	H	e_H	Ks	e_Ks
1019	"DDO 053"	6	0.1	23.08	0.02	23.17	0.01														
1020	"DDO 053"	12	0.2	24.56	0.03	24.52	0.02														
1021	"DDO 053"	18	0.3	24.74	0.02	24.88	0.02														
1022	"DDO 053"	24	0.4	25.08	0.02	25.16	0.02														
1023	"DDO 053"	30	0.5	25.1	0.02	25.15	0.02														
1024	"DDO 053"	36	0.6	25.32	0.02	25.4	0.02														
1025	"DDO 053"	42	0.7	25.77	0.03	25.85	0.02														
1026	"DDO 053"	48	0.8	26.26	0.03	26.22	0.03														
1027	"DDO 053"	54	0.9	26.74	0.04	26.7	0.04														
1028	"DDO 053"	60	1.0	27.89	0.09	27.49	0.07														
