recno	Name	Prof	r1i	r2i	r1o	r2o	mu0i	E_mu0i	e_mu0i	mu0o	E_mu0o	e_mu0o	hi	E_hi	e_hi	ho	E_ho	e_ho	Rbr	E_Rbr	e_Rbr	alpha	E_alpha	e_alpha
1	"ESO026-001"	"2i+2o"	31.27	46.82	50.31	60.62	20.49	0.09	0.05	18.77	0.34	0.56	13.81	0.45	0.28	9.38	0.69	0.9	46.36	0.65	0.42	6.29	11.18	2.03
2	"ESO027-001"	"2o"	46.34	63.28	70.2	99.94	20.82	0.28	0.25	17.22	0.58	0.37	32.68	5.27	3.65	13.41	1.44	0.78	75.2	1.99	1.33	0.72	2.88	0.11
3	"ESO079-007"	"1+(2o)"	17.37	57.3			20.88	0.06	0.1				13.33	0.44	0.58									
4	"ESO234-049"	"2o"	25.03	47.83	50.98	61.36	20.54	0.14	0.09	18.37	0.54	0.41	14.41	0.58	0.45	8.99	0.82	0.61	47.88	0.29	1.68	5.08	14.43	1.9
5	"ESO482-035"	"2o"	27.19	55.48	59.02	72.28	20.58	0.03	0.05	19.52	0.77	0.4	17.18	0.3	0.33	13.17	2.63	1.05	55.2	21.18	13.4	4.07	10.05	1.5
6	"ESO549-018"	"2o"	25.06	48.09	61.51	91.88	21.43	0.06	0.12	18.63	0.22	0.44	44.88	4.14	5.27	13.76	0.71	1.08	51.22	2.07	1.11	0.37	0.16	0.07
7	"IC0101"	"1"	14.86	45.65			20.09	0.09	0.1				8.43	0.28	0.29									
8	"IC0167"	"2o"	49.97	77.8			20.48	0.2	0.28				16.72	1.12	1.23									
9	"IC0749"	"2i+2o"	22.96	46.63	50.05	76.01	20.43	0.05	0.02	18.61	0.24	0.24	21.42	0.45	0.24	12.34	0.72	0.64	48.86	0.58	0.69	3.24	8.06	2.05
10	"IC0797"	"3d"	28.78	56.58	62.23	89.79	20.78	0.04	0.04	22.11	0.18	0.17	15.39	0.28	0.27	23.23	2.03	1.55	55.88	0.44	0.38	3.87	2.77	1.74
