#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:23:08 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:23:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/219/4/table7&-out=Name,Mod,Nc,Q,C,Fn,f1,mag1,q1,Re,n,f3,mag3,q3,hr3,mu03&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22190004
#Name: J/ApJS/219/4
#Title: S4G pipeline 4: multi-component decompositions (Salo+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	creator=Salo H.	    First author or institution
#INFO	cites=bibcode:2015ApJS..219....4S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/219/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22190004	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_219_4_table7:
#Name: J/ApJS/219/4/table7
#Title: *Parameters of final multicomponent decompositions
#Column	Name	(a10)	Galaxy name	[ucd=meta.id]
#Column	Mod	(a8)	Type of final decomposition model (1)	[ucd=meta.note]
#Column	Nc	(I1)	[1/4] Number of components in the model (1-4)	[ucd=meta.number]
#Column	Q	(I1)	[3/5] Quality flag, 5=most reliable (2)	[ucd=meta.code.qual]
#Column	C	(a7)	Phsical interpretation of the component (1)	[ucd=meta.id;stat.fit]
#Column	Fn	(A8)	The GALFIT function used for the component (sersic, edgedisk, expdisk, ferrer2 or psf)	[ucd=meta.id;stat.fit]
#Column	f1	(F6.3)	[0.006/1]? "sersic" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag1	(F6.3)	[7/19.4]? "sersic" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	q1	(F6.3)	[0.1/1]? "sersic" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	Re	(F6.2)	[0.004/430]? "sersic" effective radius (R_e_)	[ucd=phys.angSize]
#Column	n	(F6.3)	[0.01/20]? "sersic" parameter n	[ucd=stat.fit.param]
#Column	f3	(F6.3)	[0.02/1]? "expdisk" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag3	(F6.3)	[6.5/18.1]? "expdisk" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	q3	(F6.3)	[0.1/1]? "expdisk" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	hr3	(F6.2)	[0.7/332]? "expdisk" exponential scale length (h_r_)	[ucd=stat.fit.param]
#Column	mu03	(F6.3)	[16.4/25.3]? "expdisk" central surface face-on brightness ({mu}_0_)	[ucd=phot.mag.sb]
Name	Mod	Nc	Q	C	Fn	f1	mag1	q1	Re	n	f3	mag3	q3	hr3	mu03
 	 	 	 	 	 	 	mag	 	arcsec	 	 	mag	 	arcsec	mag/arcsec2
----------	--------	-	-	-------	--------	------	------	------	------	------	------	------	------	------	------
ESO011-005	_bz     	2	4	B      	sersic  	 0.571	14.822	 0.354	 48.94	 3.001	      	      	      	      	
ESO011-005	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO012-010	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.944	13.445	 0.458	 33.95	23.095
ESO012-010	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO012-014	_dbar   	2	4	D      	expdisk 	      	      	      	      	      	 0.835	14.795	 0.420	 33.15	24.393
ESO012-014	_dbar   	2	4	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO013-016	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	 0.963	12.802	 0.657	 21.06	21.415
ESO013-016	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO015-001	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.777	14.628	 0.414	 23.90	23.516
ESO015-001	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO026-001	_ndbar  	3	5	D      	expdisk 	      	      	      	      	      	 0.933	12.978	 0.940	 19.41	21.413
ESO026-001	_ndbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO026-001	_ndbar  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO027-001	_bdbar  	3	5	B      	sersic  	 0.087	13.985	 0.368	  2.52	 3.257	      	      	      	      	
ESO027-001	_bdbar  	3	5	D      	expdisk 	      	      	      	      	      	 0.839	11.518	 0.784	 24.67	20.475
ESO027-001	_bdbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO027-008	_dn     	2	5	D      	expdisk 	      	      	      	      	      	 0.986	11.516	 0.333	 23.66	20.381
ESO027-008	_dn     	2	5	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO048-017	_ndbar  	3	5	D      	expdisk 	      	      	      	      	      	 0.856	14.452	 0.530	 20.66	23.023
ESO048-017	_ndbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO048-017	_ndbar  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO054-021	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.934	12.081	 0.486	 47.11	22.442
ESO054-021	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO079-003	_bz     	2	4	B      	sersic  	 0.264	12.036	 0.280	295.79	20.000	      	      	      	      	
ESO079-003	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO079-005	_dbar   	2	4	D      	expdisk 	      	      	      	      	      	 0.714	13.841	 0.589	 21.54	22.503
ESO079-005	_dbar   	2	4	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO079-007	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO079-007	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.965	13.401	 0.808	 14.50	21.202
ESO085-014	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.890	13.120	 0.370	 31.01	22.573
ESO085-014	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
