#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:23:26 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:23:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/PASP/122/1397/s4g&-out=Name,RAJ2000,DEJ2000,amaj,ell,[3.6],M3.6,logM*,Dmean,TT,Vr&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_61221397
#Name: J/PASP/122/1397
#Title: Spitzer Survey of Stellar Structure in Galaxies (Sheth+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	creator=Sheth K.	    First author or institution
#INFO	cites=bibcode:2010PASP..122.1397S	    Article or Data origin sources
#INFO	journal=PASP	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PASP/122/1397	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.61221397	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PASP_122_1397_s4g:
#Name: J/PASP/122/1397/s4g
#Title: S^4^G catalog Version 2 (2013-09)
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	amaj	(F5.1)	? Semi-major axis at level {mu}(3.6um)=25.5mag(AB)/arcsec^2^	[ucd=phys.angSize.smajAxis]
#Column	ell	(F6.3)	[0/1]? Ellipticity (1-b/a)	[ucd=src.ellipticity]
#Column	[3.6]	(F6.3)	? Spitzer/IRAC 3.6um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.3-4um]
#Column	M3.6	(F7.3)	? Absolute magnitude at 3.6um	[ucd=phys.magAbs;em.IR.3-4um]
#Column	logM*	(F6.3)	? Stellar mass	[ucd=phys.mass]
#Column	Dmean	(F7.3)	? Mean redshift-independent distance	[ucd=pos.distance;pos.heliocentric]
#Column	TT	(F4.1)	? Morphological type code	[ucd=meta.code;src.morph.type]
#Column	Vr	(F7.1)	? Heliocentric radial velocity from radio measurement	[ucd=spect.dopplerVeloc;pos.heliocentric]
Name	RAJ2000	DEJ2000	amaj	ell	[3.6]	M3.6	logM*	Dmean	TT	Vr
 	deg	deg	arcsec	 	mag	mag	[Msun]	Mpc	 	km/s
----------	---------	---------	-----	------	------	-------	------	-------	----	-------
IC5269    	344.43187	-36.02620	 67.6	 0.475	12.214	-19.874	10.121	 26.150	-1.9	 1967.0
IC5269A   	343.98060	-36.34807	 48.1	 0.263	14.614	-18.275	 9.399	 37.833	 8.9	 2872.3
IC5269B   	344.15293	-36.24990	138.7	 0.775	12.921	-19.078	 9.738	 25.106	 5.5	 1664.3
IC5269C   	345.20066	-35.37049	 73.3	 0.568	13.976	-17.821	 9.296	       	 7.0	 1788.3
IC5270    	344.47868	-35.85802	 94.1	 0.551	11.875	-19.900	10.055	 22.647	 5.7	 1983.3
IC5271    	344.50766	-33.74218	 94.0	 0.533	10.967	-20.806	10.467	 22.630	 3.0	 1706.3
IC5273    	344.86115	-37.70289	103.3	 0.290	11.326	-19.769	10.029	 16.557	 5.7	 1294.5
IC5321    	351.58328	-17.95604	 58.9	 0.186	13.695	-19.415	10.029	 41.867	 1.8	 2873.0
IC5325    	352.18093	-41.33327	102.8	 0.119	10.975	-20.314	10.250	 18.100	 4.2	 1510.2
IC5332    	353.61437	-36.10101	231.0	 0.035	10.689	-18.932	 9.702	  8.400	 6.8	  704.0
IC5333    	353.71979	-65.39610	 52.7	 0.655	13.332	-19.216	 9.769	 32.333	 3.3	 2010.3
IC5334    	353.65174	-04.53426	 66.8	 0.562	12.696	-20.293	10.267	 39.600	 3.7	 2214.4
NGC0007   	002.08741	-29.91481	 74.7	 0.710	14.021	-17.684	 9.141	 21.929	 4.8	 1498.1
NGC0014   	002.19285	+15.81629	 92.2	 0.182	12.654	-17.882	 9.299	 12.800	 9.9	  863.2
NGC0024   	002.48444	-24.96402	181.0	 0.715	11.492	-17.698	 9.318	  6.889	 5.1	  553.2
NGC0045   	003.51699	-23.18187	255.3	 0.199	10.949	-18.896	 9.819	  9.313	 7.7	  468.9
NGC0055   	003.72841	-39.19950	     	      	      	       	      	  1.942	 8.8	  128.9
NGC0059   	003.85485	-21.44434	 94.6	 0.471	12.749	-15.677	 8.398	  4.845	-2.9	  364.2
NGC0063   	004.43955	+11.45034	 55.6	 0.344	11.838	-19.532	 9.931	 18.800	-3.4	 1158.7
NGC0100   	006.01111	+16.48603	123.2	 0.830	13.002	-18.071	 9.297	 16.392	 5.9	  841.9
NGC0115   	006.69270	-33.67710	 64.2	 0.598	13.752	-18.683	 9.525	 30.686	 3.9	 1828.5
NGC0131   	007.41048	-33.25990	 52.9	 0.505	13.036	-18.168	 9.383	       	 3.0	 1410.0
NGC0134   	007.59138	-33.24391	250.7	 0.695	 9.390	-21.991	10.895	 18.885	 4.0	 1583.6
NGC0148   	008.56456	-31.78600	 82.2	 0.545	11.744	-19.580	10.013	 18.400	-2.0	 1516.0
NGC0150   	008.56445	-27.80352	129.2	 0.490	10.918	-20.697	10.378	 21.038	 3.4	 1586.0
NGC0157   	008.69491	-08.39634	150.2	 0.347	10.066	-21.384	10.651	 19.500	 4.0	 1650.8
NGC0178   	009.78486	-14.17263	 67.4	 0.501	13.193	-18.131	 9.404	 18.400	 8.7	 1452.5
NGC0210   	010.14572	-13.87277	154.7	 0.324	10.792	-20.817	10.437	 20.983	 3.1	 1637.3
NGC0216   	010.36312	-21.04490	 69.5	 0.612	13.059	-18.346	 9.433	 19.100	-1.9	 1547.5
NGC2967   	145.51380	+00.33644	 84.8	 0.014	11.322	-21.128	10.566	 30.900	 5.2	 1892.5
NGC2968   	145.80008	+31.92874	126.3	 0.289	10.930	-19.784	10.104	 13.890	 1.2	 1525.5
NGC2974   	145.63871	-03.69919	156.8	 0.274	10.520	-21.447	10.771	 24.730	-4.3	 1888.6
NGC2976   	146.81366	+67.91671	215.7	 0.393	 9.907	-17.881	 9.273	  3.611	 5.2	    5.3
NGC2978   	145.81995	-09.74573	 42.6	 0.232	12.819	-21.838	10.828	 85.375	 4.0	 1802.0
NGC2985   	147.59242	+72.27897	228.7	 0.199	 9.916	-21.746	10.856	 21.500	 2.4	 1321.2
NGC2986   	146.06677	-21.27801	166.3	 0.114	10.242	-22.541	11.219	 36.022	-4.7	
NGC3003   	147.14876	+33.42163	150.9	 0.711	11.871	-19.907	10.066	 22.677	 4.3	 1480.7
NGC3018   	147.42269	+00.62141	 43.1	 0.420	13.687	-18.374	 9.455	       	 3.1	 1863.5
NGC3020   	147.52759	+12.81372	 94.4	 0.514	12.922	-19.349	 9.821	 28.450	 5.9	 1441.3
NGC3021   	147.73816	+33.55360	 57.5	 0.345	11.665	-20.515	10.329	 27.288	 4.0	 1539.8
NGC3023   	147.46865	+00.61904	 73.3	 0.426	12.992	-19.497	 9.854	 31.460	 5.5	 1879.0
NGC3024   	147.61398	+12.76571	 57.4	 0.524	13.436	-18.018	 9.303	       	 5.0	 1414.4
NGC3026   	147.73046	+28.55106	 94.9	 0.719	13.209	-18.815	 9.663	 25.400	 9.7	 1488.5
NGC3027   	148.91815	+72.20381	139.3	 0.627	12.582	-18.897	 9.720	 19.756	 6.4	 1058.0
NGC3031   	148.88833	+69.06535	808.6	 0.421	 6.345	-21.491	10.780	  3.692	 2.4	  -38.5
NGC3032   	148.03400	+29.23624	 74.7	 0.216	12.226	-19.570	 9.992	 22.860	-1.9	 1546.5
NGC3034   	148.96800	+69.67975	431.0	 0.391	 6.763	-21.122	10.449	  3.777	 7.5	  221.0
NGC3041   	148.27976	+16.67765	122.1	 0.366	11.368	-20.736	10.437	 26.350	 5.4	 1412.1
NGC3043   	149.06190	+59.30716	 51.6	 0.571	12.939	-20.383	10.249	 46.175	 3.0	 2995.0
NGC3044   	148.41998	+01.57971	156.5	 0.805	11.360	-20.478	10.259	 23.308	 5.6	 1288.1
