recno	Seq	Name	Mod	Nc	Q	C	Fn	f1	mag1	q1	PA1	Re	n	f2	mu02	PA2	hr2	hz2	f3	mag3	q3	PA3	hr3	mu03	f4	mu04	q4	PA4	Rbar	f5	mag5
2	1	"ESO011-005"	"_bz"	2	4	"Z"	"edgedisk"							0.429	20.912	43.9	9.76	2.96													
1	1	"ESO011-005"	"_bz"	2	4	"B"	"sersic  "	0.571	14.822	0.354	40.45	48.94	3.001																		
4	2	"ESO012-010"	"_dbar"	2	5	"BAR"	"ferrer2 "																		0.056	22.177	0.39	24.24	21.14		
3	2	"ESO012-010"	"_dbar"	2	5	"D"	"expdisk "												0.944	13.445	0.458	-33.8	33.95	23.095							
5	3	"ESO012-014"	"_dbar"	2	4	"D"	"expdisk "												0.835	14.795	0.42	31.03	33.15	24.393							
6	3	"ESO012-014"	"_dbar"	2	4	"BAR"	"ferrer2 "																		0.165	24.704	0.249	11.1	83.01		
7	4	"ESO013-016"	"_dbarf"	2	5	"D"	"expdisk "												0.963	12.802	0.657	-14.29	21.06	21.415							
8	4	"ESO013-016"	"_dbarf"	2	5	"BAR"	"ferrer2 "																		0.037	20.882	0.207	-14.32	17.25		
10	5	"ESO015-001"	"_dbar"	2	5	"BAR"	"ferrer2 "																		0.223	22.89	0.199	-77.11	52.52		
9	5	"ESO015-001"	"_dbar"	2	5	"D"	"expdisk "												0.777	14.628	0.414	-54.26	23.9	23.516							
