recno	Name	xc	yc	PA	e_PA	Ell	e_Ell	Rmin	Rmax	Flag	Sky	s_Sky	RMS	sigma	Nf	Comm	Tmag	q	PA1	n	Re	_RA	_DE
1	"ESO011-005"	780.84	299.02	42.7	0.1	0.747	0.002	13	16	"z "	0.0125	0.0039	0.0109	0.0092	2	""	14.52	0.231	43.46	1.329	18.61	325.2435	-82.79967
2	"ESO012-010"	760.68	294.95	146.2	1.1	0.542	0.012	75	90	"ok"	-0.0022	0.0025	0.0109	0.0096	2	""	13.31	0.493	156.97	1.592	56.38	359.115	-81.56639
3	"ESO012-014"	782.57	459.99	31.0	5.2	0.58	0.04	67	75	"u "	0.008	0.0033	0.0106	0.0091	2	""	14.67	0.411	23.92	0.884	47.35	0.68417	-80.34639
4	"ESO013-016"	478.49	282.78	165.7	3.1	0.343	0.031	52	82	"ok"	0.0041	0.0027	0.0101	0.0084	2	""	12.75	0.508	168.64	1.314	38.85	23.20167	-79.47389
5	"ESO015-001"	291.43	294.8	125.7	2.7	0.586	0.018	56	75	"u "	0.005	0.0018	0.0102	0.0086	2	""	14.39	0.357	110.22	1.131	34.34	55.93917	-80.10528
6	"ESO026-001"	795.5	495.47	19.3	21.1	0.06	0.028	52	60	"ok"	0.0125	0.0024	0.0105	0.0091	3	""	12.52	0.689	58.26	3.126	62.93	306.25922	-81.57529
7	"ESO027-001"	776.34	294.63	12.5	10.1	0.216	0.061	112	127	"u "	0.0109	0.0032	0.0112	0.0097	3	""	10.75	0.765	74.38	5.423	96.07	328.11014	-81.53076
8	"ESO027-008"	755.99	297.75	145.1	0.1	0.666	0.002	90	97	"ok"	0.0187	0.0019	0.0114	0.0099	2	""	11.59	0.368	146.96	0.712	34.43	335.76745	-79.99693
9	"ESO048-017"	782.63	545.21	63.0	1.3	0.47	0.027	48	56	"ok"	0.0094	0.0035	0.0102	0.0093	3	""	14.22	0.331	61.47	1.986	38.76	332.2319	-73.38196
10	"ESO054-021"	306.1	292.06	88.4	1.7	0.514	0.022	135	165	"ok"	-0.0029	0.0022	0.0107	0.0093	2	""	11.84	0.552	79.78	1.974	84.66	57.45602	-71.63538
