recno	Name	Dist	Rad	Vobs	e_Vobs	Vgas	Vdisk	Vbulge	SBdisk	SBbulge
1	"CamB"	3.36	0.16	1.99	1.5	1.86	3.75	0.0	30.32	0.0
2	"CamB"	3.36	0.41	4.84	1.5	4.24	9.47	0.0	23.77	0.0
3	"CamB"	3.36	0.57	6.79	1.5	5.61	11.76	0.0	15.87	0.0
4	"CamB"	3.36	0.73	8.87	1.5	6.77	13.72	0.0	12.4	0.0
5	"CamB"	3.36	0.9	10.9	1.5	7.77	14.8	0.0	9.63	0.0
6	"CamB"	3.36	1.06	12.9	1.5	8.44	15.24	0.0	5.86	0.0
7	"CamB"	3.36	1.22	14.7	1.5	8.64	15.11	0.0	5.19	0.0
8	"CamB"	3.36	1.47	16.8	1.5	8.08	15.9	0.0	3.02	0.0
9	"CamB"	3.36	1.79	20.1	1.5	6.91	14.91	0.0	0.88	0.0
10	"D512-2"	15.2	0.96	22.9	2.71	4.08	14.85	0.0	16.45	0.0
