#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:44:51 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:44:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/480/2292/table1b&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74802292
#Name: J/MNRAS/480/2292
#Title: Quantifying maximum discs in galaxies (Starkman+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/480/2292	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/480/2292	    IVOID of underlying data collection
#INFO	creator=Starkman N.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.480.2292S	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/480/2292	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74802292	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_480_2292_table1b:
#Name: J/MNRAS/480/2292/table1b
#Title: SPARC: Mass Models for 175 Disk Galaxies with Spitzer Photometry and Accurate Rotation Curves (Mass Models Supplement)
#Column	ID	(a11)	Galaxy identifier	[ucd=meta.id;meta.main]
#Column	R	(F6.2)	Galactocentric radius	[ucd=pos.distance;pos.galactocentric]
#Column	Vobs	(F6.2)	Observed circular velocity	[ucd=phys.veloc]
#Column	e_Vobs	(F5.2)	Uncertainty in Vobs (1)	[ucd=stat.error]
#Column	Vgas	(F6.2)	Gas velocity contribution (2)	[ucd=phys.veloc]
#Column	Vdisk	(F7.3)	Disk velocity contribution (3)	[ucd=phys.veloc]
#Column	e_Vdisk	(F6.3)	Uncertainty in Vdisk	[ucd=stat.error]
#Column	SBdisk	(F8.3)	Disk surface brightness	[ucd=phot.flux.sb]
#Column	e_SBdisk	(F7.3)	Disk surface brightness	[ucd=stat.error]
#Column	Vbul	(F7.3)	Bulge velocity contribution (3)	[ucd=phys.veloc]
#Column	SBbul	(F9.3)	Bulge surface brightness	[ucd=phot.flux.sb]
#Column	Vbar	(F7.3)	Total baryonic velocity (3)	[ucd=phys.veloc]
#Column	e_Vbar	(F6.3)	Total baryonic velocity	[ucd=stat.error]
ID	R	Vobs	e_Vobs	Vgas	Vdisk	e_Vdisk	SBdisk	e_SBdisk	Vbul	SBbul	Vbar	e_Vbar
 	kpc	km/s	km/s	km/s	km/s	km/s	Lsun/pc2	Lsun/pc2	km/s	Lsun/pc2	km/s	km/s
-----------	------	------	-----	------	-------	------	--------	-------	-------	---------	-------	------
UGCA444    	  0.12	  6.48	 2.60	 -0.66	  8.434	 0.000	  41.590	  0.000	  0.000	    0.000	  8.408	 0.000
UGCA444    	  0.19	  8.60	 2.65	  0.47	  8.587	 0.000	  49.673	  0.000	  0.000	    0.000	  8.600	 0.000
UGCA444    	  0.26	 10.20	 3.03	  1.82	 10.427	 0.000	  35.711	  0.000	  0.000	    0.000	 10.585	 0.000
UGCA444    	  0.33	 11.70	 3.55	  3.08	 11.117	 0.000	  32.772	  0.000	  0.000	    0.000	 11.536	 0.000
UGCA444    	  0.40	 12.70	 3.75	  4.20	 11.194	 0.000	  25.865	  0.000	  0.000	    0.000	 11.956	 0.000
UGCA444    	  0.47	 14.10	 3.43	  5.32	 11.616	 0.000	  31.009	  0.000	  0.000	    0.000	 12.776	 0.000
UGCA444    	  0.55	 16.00	 3.33	  6.65	 13.187	 0.000	  29.392	  0.000	  0.000	    0.000	 14.769	 0.000
UGCA444    	  0.62	 18.10	 2.66	  7.97	 14.146	 0.000	  23.367	  0.000	  0.000	    0.000	 16.237	 0.000
UGCA444    	  0.69	 21.20	 3.78	  9.25	 14.606	 0.000	  20.281	  0.000	  0.000	    0.000	 17.289	 0.000
UGCA444    	  0.76	 21.60	 3.33	 10.36	 15.143	 0.000	  20.428	  0.000	  0.000	    0.000	 18.347	 0.000
UGCA444    	  0.83	 23.30	 3.09	 11.58	 15.909	 0.000	  18.958	  0.000	  0.000	    0.000	 19.677	 0.000
UGCA444    	  0.90	 24.50	 3.26	 12.39	 16.561	 0.000	  17.194	  0.000	  0.000	    0.000	 20.683	 0.000
UGCA444    	  0.97	 24.40	 3.29	 13.10	 17.098	 0.000	  15.872	  0.000	  0.000	    0.000	 21.539	 0.000
UGCA444    	  1.04	 25.30	 2.78	 13.71	 17.519	 0.000	  14.549	  0.000	  0.000	    0.000	 22.246	 0.000
UGCA444    	  1.11	 25.40	 2.78	 14.22	 17.979	 0.000	  13.373	  0.000	  0.000	    0.000	 22.923	 0.000
UGCA444    	  1.19	 25.90	 2.73	 14.63	 18.439	 0.000	  12.198	  0.000	  0.000	    0.000	 23.538	 0.000
UGCA444    	  1.26	 26.70	 2.67	 14.83	 18.708	 0.000	  11.169	  0.000	  0.000	    0.000	 23.873	 0.000
UGCA444    	  1.33	 27.10	 3.16	 15.03	 18.976	 0.000	  10.287	  0.000	  0.000	    0.000	 24.207	 0.000
UGCA444    	  1.40	 28.60	 3.34	 15.13	 19.283	 0.000	   9.405	  0.000	  0.000	    0.000	 24.510	 0.000
UGCA444    	  1.48	 28.90	 3.21	 15.24	 19.513	 0.000	   8.524	  0.000	  0.000	    0.000	 24.759	 0.000
