recno	ID	R	Vobs	e_Vobs	Vgas	Vdisk	e_Vdisk	SBdisk	e_SBdisk	Vbul	SBbul	Vbar	e_Vbar
100	"CamB"	0.16	1.99	1.5	1.86	1.22	0.0	3.208	0.0	0.0	0.0	2.224	0.0
101	"CamB"	0.41	4.84	1.5	4.24	3.08	0.0	2.515	0.0	0.0	0.0	5.241	0.0
102	"CamB"	0.57	6.79	1.5	5.61	3.825	0.0	1.679	0.0	0.0	0.0	6.79	0.0
103	"CamB"	0.73	8.87	1.5	6.77	4.463	0.0	1.312	0.0	0.0	0.0	8.109	0.0
104	"CamB"	0.9	10.9	1.5	7.77	4.814	0.0	1.019	0.0	0.0	0.0	9.14	0.0
105	"CamB"	1.06	12.9	1.5	8.44	4.957	0.0	0.62	0.0	0.0	0.0	9.788	0.0
106	"CamB"	1.22	14.7	1.5	8.64	4.915	0.0	0.549	0.0	0.0	0.0	9.94	0.0
107	"CamB"	1.47	16.8	1.5	8.08	5.172	0.0	0.32	0.0	0.0	0.0	9.593	0.0
108	"CamB"	1.79	20.1	1.5	6.91	4.85	0.0	0.093	0.0	0.0	0.0	8.442	0.0
313	"D512-2"	0.96	22.9	2.71	4.08	22.87	0.45	39.015	1.537	0.0	0.0	23.231	0.443
