#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:01:02 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:01:02	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2bA/370/765/table4&-out.max=unlimited&-out=Name&-out=Rad&-out=VrotApp&-out=VrotRec&-out=Vrot&-out=e_Vrot	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33700765
#Name: J/A+A/370/765
#Title: HI synthesis observations in UMa cluster (Verheijen+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	creator=Verheijen M.A.W.	    First author or institution
#INFO	cites=bibcode:2001A&A...370..765V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/370/765	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33700765	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_370_765_table4:
#Name: J/A+A/370/765/table4
#Title: Rotation curves derived from velocity fields and XV-diagrams
#Column	Name	(A5)	Galaxy name (N for NGC, U for UGC)	[ucd=meta.id;meta.main]
#Column	Rad	(I3)	Radius	[ucd=pos.angDistance]
#Column	VrotApp	(I3)	? Approaching rotation velocity	[ucd=phys.veloc.rotat]
#Column	VrotRec	(I3)	? Receding rotation velocity	[ucd=phys.veloc.rotat]
#Column	Vrot	(I3)	? Average rotational velocity	[ucd=phys.veloc.rotat]
Name	Rad	VrotApp	VrotRec	Vrot
 	arcsec	km/s	km/s	km/s
-----	---	---	---	---
U6399	 10	 25	 25	 25
U6399	 20	 44	 49	 46
U6399	 30	 61	 61	 61
U6399	 40	 70	 69	 70
U6399	 50	 77	 78	 78
U6399	 60	 82	 84	 83
U6399	 70	 84	   	 84
U6399	 80	 86	   	 86
U6399	 90	 88	   	 88
U6446	 10	 39	 23	 31
U6446	 20	 49	 61	 55
U6446	 30	 57	 65	 61
U6446	 40	 63	 65	 64
U6446	 50	 69	 65	 67
U6446	 60	 71	 70	 70
U6446	 70	 75	 72	 74
U6446	 80	 79	 77	 78
U6446	 90	 81	 81	 81
U6446	100	 81	 80	 81
U6446	110	 81	 82	 81
U6446	120	 82	 83	 82
U6446	131	 82	 84	 83
U6446	142	 83	 86	 85
U6446	153	 83	 86	 84
U6446	164	 82	 85	 83
U6446	176	 80	   	 80
N3726	 40	112	 92	102
N3726	 60	131	119	125
N3726	 80	144	146	145
N3726	100	156	172	164
N3726	120	154	171	162
N3726	140	155	166	160
N3726	160	152	159	156
N3726	183	145	148	147
N3726	256	157	159	158
N3726	316	169	   	169
N3726	344	169	   	169
N3726	373	167	   	167
N3769	 20	 89	 86	 88
N3769	 40	103	109	106
N3769	 60	112	119	116
N3769	 80	120	130	125
N3769	100	123	129	126
N3769	120	124	122	123
N3769	141	120	115	118
N3769	166	120	110	115
N3769	196	122	   	122
N3769	364	121	   	121
N3769	396	118	   	118
N3769	426	113	   	113
U6667	 10	 27	 27	 27
U6667	 20	 43	 47	 45
U6667	 30	 55	 59	 57
U6667	 40	 64	 74	 69
U6667	 50	 73	 82	 77
U6667	 60	 78	 84	 81
U6667	 70	 82	 87	 84
U6667	 80	 83	 87	 85
U6667	 90	 83	 89	 86
N3877	 10	 35	 40	 38
N3877	 20	 81	 80	 80
N3877	 30	129	113	121
N3877	 40	150	134	142
N3877	 50	157	149	153
N3877	 60	161	159	160
N3877	 70	163	163	162
N3877	 80	164	171	167
N3877	 90	163	174	169
N3877	100	164	177	171
N3877	110	165	176	171
N3877	120	165	174	170
N3877	130	166	171	169
N3893	 20	140	150	145
N3893	 40	175	173	174
N3893	 60	191	197	194
