name,ra,dec,freq,f_sum,err_f_sum,f_sum_corr,err_f_sum_corr,f_sum_corr_30,err_f_sum_corr_30,rms,w20,w50,kin_pa,rel,qflag,kflag,n_pix,f_min,f_max,ell_maj,ell_min,ell_pa,ell3s_maj,ell3s_min,ell3s_pa,x,err_x,y,err_y,z,err_z,x_min,x_max,y_min,y_max,z_min,z_max,dist_h,log_m_hi,log_m_hi_corr,team_release,comments,team_release_kin,Vsys_model,e_Vsys_model,X_model,e_X_model,Y_model,e_Y_model,RA_model,e_RA_model,DEC_model,e_DEC_model,Inc_model,e_Inc_model,PA_model,e_PA_model,PA_model_g,QFlag_model,Rad,Vrot_model,e_Vrot_model,e_Vrot_model_inc,Rad_SD,SD_model,e_SD_model,SD_FO_model,e_SD_FO_model_inc
WALLABY J094622-463856,146.593659,-46.651559,1.40778E9,59990.3,1968.536425,59990.3,1968.536425,52165.478260869575,1711.7708043478262,0.001664,1400970.0,1325860.0,4.50373,1.0,128.0,1.0,166152.0,-0.008226,0.018955,60.578996,11.504466,6.446208,61.951542,10.20874,6.451808,57.743343,0.120748,328.600435,0.465056,157.661006,0.511033,34.0,78.0,243.0,383.0,83.0,249.0,38.41007079247339,9.64332621077284,9.643327637702376,Vela High-Res TR1,,Vela High-Res Kin TR1,2700.5,0.8,42.774,0.1604,100.874,1.1486,146.59363,1.31E-4,-46.649185,6.38E-4,83.1,0.3,184.4,0.5,184.4,1.0,"2.5,8.5,14.51,20.51,26.51,32.52,38.52,44.52,50.53,56.53,62.53,68.53,74.54,80.54,86.54,92.55,98.55,104.55,110.56,116.56,122.56,128.57,134.57,140.57,146.58,152.58,158.58,164.58,170.59","98.4,41.7,60.2,73.4,89.0,102.1,110.4,118.6,124.5,129.7,132.6,133.2,135.0,136.5,137.7,139.9,141.9,140.8,141.0,140.1,138.0,141.6,138.8,134.8,136.2,140.5,142.4,139.8,133.3","75.2,8.8,11.8,15.6,13.8,11.2,10.1,7.2,5.7,4.2,4.3,5.8,5.5,4.7,3.4,0.7,1.6,0.8,1.2,0.6,1.4,2.3,0.5,4.5,3.3,1.0,2.7,0.2,7.0","0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1","2.5,8.5,14.51,20.51,26.51,32.52,38.52,44.52,50.53,56.53,62.53,68.53,74.54,80.54,86.54,92.55,98.55,104.55,110.56,116.56,122.56,128.57,134.57,140.57,146.58,152.58,158.58,164.58,170.59","22.65,19.32,20.38,22.28,18.26,22.74,19.87,23.04,24.24,22.06,21.91,20.7,19.3,20.44,17.3,16.75,14.78,13.59,12.07,11.89,9.33,9.74,7.53,6.93,6.77,4.93,5.19,3.74,3.47","1.17,6.0,5.59,4.01,6.5,5.73,5.6,4.45,5.96,4.58,2.79,3.71,3.32,3.38,2.82,2.73,2.45,2.9,2.41,2.85,2.06,2.26,2.0,2.05,1.83,1.59,1.63,1.34,1.31","2.726,2.325,2.453,2.682,2.198,2.737,2.391,2.774,2.917,2.655,2.637,2.491,2.323,2.46,2.083,2.016,1.779,1.636,1.453,1.431,1.123,1.173,0.906,0.834,0.814,0.593,0.624,0.451,0.417","0.129,0.11,0.116,0.127,0.104,0.129,0.113,0.131,0.138,0.126,0.125,0.118,0.11,0.116,0.099,0.095,0.084,0.077,0.069,0.068,0.053,0.055,0.043,0.039,0.039,0.028,0.03,0.021,0.02"
WALLABY J094524-480828,146.352127,-48.142078,1.41625E9,37132.8,1673.524278,37132.8,1673.524278,32289.39130434783,1455.2385026086959,0.002075,411212.0,352922.0,215.426166,1.0,0.0,1.0,77260.0,-0.008398,0.018831,49.020503,11.556604,34.85987,46.432414,8.623343,34.17175,262.012713,0.374862,225.232508,0.499486,129.10563,0.208711,221.0,298.0,169.0,276.0,106.0,152.0,12.567020660355306,8.4645770674067,8.46457874531904,Vela High-Res TR1,,Vela High-Res Kin TR1,876.7,1.9,50.124,0.7945,68.071,0.9495,146.352868,6.61E-4,-48.141057,5.28E-4,81.2,0.1,34.4,0.1,34.4,1.0,"2.5,8.5,14.5,20.5,26.5,32.51,38.51,44.51,50.51,56.51,62.51,68.51,74.51,80.52,86.52,92.52,98.52","12.7,15.2,15.5,15.2,16.1,18.2,21.1,23.9,26.4,28.6,30.6,32.6,34.2,35.1,35.5,35.3,35.1","8.7,7.0,4.1,1.7,1.0,0.6,0.1,0.5,0.2,0.4,0.6,0.4,0.2,0.2,0.3,0.4,0.1","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","2.5,8.5,14.5,20.5,26.5,32.51,38.51,44.51,50.51,56.51,62.51,68.51,74.51,80.52,86.52,92.52,98.52,104.52,110.52,116.52","26.81,25.74,24.15,21.5,21.55,20.81,19.29,17.78,16.41,14.85,12.9,10.71,9.37,8.6,7.43,6.15,5.81,5.12,4.07,3.23","4.07,4.34,3.75,2.95,3.07,3.0,2.17,2.03,2.18,1.84,1.89,1.95,1.59,1.67,1.55,1.54,1.46,1.36,1.38,1.26","4.124,3.959,3.714,3.307,3.314,3.201,2.967,2.735,2.525,2.284,1.985,1.648,1.441,1.324,1.143,0.946,0.894,0.788,0.626,0.496","0.046,0.044,0.042,0.037,0.037,0.036,0.033,0.031,0.028,0.026,0.022,0.019,0.016,0.015,0.013,0.011,0.01,0.009,0.007,0.006"
WALLABY J094924-454230,147.354709,-45.710711,1.39575E9,12331.8,1325.83167,12331.8,1325.83167,10723.304347826088,1152.8971043478261,0.002302,703435.0,562460.0,69.667812,1.0,0.0,0.0,39389.0,-0.028792,0.030277,27.440389,20.066734,23.688084,29.438505,17.325866,43.987553,281.396058,0.473468,191.180634,0.571677,128.199181,0.414998,253.0,315.0,154.0,223.0,98.0,153.0,75.65423848638443,9.54504802280265,9.545049389648362,Vela High-Res TR1,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J094944-471059,147.431679,-47.18298,1.39542E9,46398.1,2036.869664,46398.1,2036.869664,40346.17391304348,1771.1910121739134,0.001671,960829.0,842052.0,169.24174,1.0,0.0,0.0,176363.0,-0.009281,0.009399,44.950701,41.613044,-33.74039,43.795717,42.245863,-86.953164,194.024136,0.409652,191.636249,0.413135,140.337815,0.310554,143.0,248.0,143.0,239.0,103.0,179.0,76.68494835365465,10.1322754781394,10.132276844152297,Vela High-Res TR1,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J094919-475749,147.333108,-47.962082,1.41131E9,103573.0,3102.308746,103573.0,3102.308746,90063.47826086957,2697.6597791304353,0.001822,1147650.0,582109.0,340.476722,1.0,1.0,0.0,343987.0,-0.008427,0.011968,139.357177,38.030208,-13.649625,142.000033,33.008042,-14.884727,174.693435,0.335368,116.750821,0.888881,132.46478,0.221495,124.0,254.0,0.0,232.0,83.0,182.0,27.601890783496728,9.59347913602621,9.59348061074676,Vela High-Res TR1,Interacting pair,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J100123-434533,150.348596,-43.759921,1.40378E9,35944.5,1877.862944,35944.5,1877.862944,31256.086956521744,1632.924299130435,0.001664,621415.0,519051.0,67.752034,1.0,0.0,0.0,151377.0,-0.007915,0.009104,43.310698,35.993848,37.458285,37.420474,31.412048,23.062833,192.199779,0.420903,191.141803,0.435791,113.901901,0.255664,144.0,237.0,139.0,247.0,84.0,149.0,50.722995485820675,9.66239722469582,9.66239862199828,Vela High-Res TR1,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J100509-444852,151.291475,-44.814399,1.40248E9,17614.7,1127.152879,17614.7,1127.152879,15317.130434782612,980.1329382608697,0.001498,539595.0,439296.0,118.661168,1.0,0.0,0.0,67279.0,-0.005911,0.008643,26.437938,21.708678,-55.908355,22.910552,20.286842,-64.120669,186.39232,0.380848,122.582092,0.354227,117.66413,0.322505,156.0,219.0,93.0,150.0,90.0,146.0,54.73981851756454,9.41883695568822,9.41883834620876,Vela High-Res TR1,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J100550-441338,151.457106,-44.227753,1.40474E9,87238.9,2590.107161,87238.9,2590.107161,75859.91304347826,2252.2670965217394,0.001626,1623350.0,1339310.0,34.39988,1.0,0.0,0.0,301514.0,-0.006727,0.010796,72.399459,45.611042,30.070496,64.575567,42.057295,38.606831,207.018481,0.376674,191.544311,0.49591,151.635831,0.352236,154.0,287.0,86.0,256.0,95.0,216.0,47.76149841878186,9.99522105346122,9.995222456494355,Vela High-Res TR1,Interacting,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABY J100656-450242,151.736193,-45.045445,1.40219E9,33483.1,1995.631379,33483.1,1995.631379,29115.739130434784,1735.3316339130436,0.001486,1732460.0,1616610.0,66.31568,1.0,128.0,1.0,214468.0,-0.006652,0.010982,45.07204,15.007772,69.463849,49.261381,13.915934,70.178384,187.833239,0.323593,194.198285,0.17782,105.071936,0.849346,143.0,247.0,162.0,235.0,0.0,249.0,55.63689511932838,9.71190643089558,9.711907820035302,Vela High-Res TR1,,Vela High-Res Kin TR1,3915.3,7.2,55.812,1.9244,41.718,0.6889,151.735423,0.001513,-45.045712,3.83E-4,77.7,4.7,249.7,1.4,249.7,-1.0,"2.5,8.5,14.51,20.51,26.51,32.52,38.52,44.52,50.53,56.53,62.53,68.54,74.54,80.54,86.55,92.55,98.55","51.7,123.5,152.5,177.8,181.1,176.8,182.6,186.3,186.6,186.5,185.3,182.8,172.4,166.1,161.1,161.7,168.5","18.6,25.4,10.7,10.2,2.7,4.5,0.1,4.1,6.2,8.3,9.0,8.0,1.4,7.1,11.9,11.5,5.4","0.9,2.2,2.7,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.1,3.0,2.9,2.9,3.0","2.5,8.5,14.51,20.51,26.51,32.52,38.52,44.52,50.53,56.53,62.53,68.54,74.54,80.54,86.55,92.55,98.55,104.56","13.83,9.74,13.57,12.15,12.58,11.75,11.22,11.79,11.58,9.69,9.0,9.42,8.44,7.63,6.97,5.74,4.48,3.25","3.27,4.12,4.71,4.53,3.86,3.43,2.81,2.64,3.01,2.64,2.51,2.12,2.01,1.8,1.37,1.36,1.38,1.23","2.935,2.066,2.878,2.578,2.669,2.493,2.38,2.501,2.457,2.057,1.909,1.999,1.79,1.618,1.48,1.217,0.95,0.691","1.108,0.78,1.087,0.974,1.008,0.942,0.899,0.945,0.928,0.777,0.721,0.755,0.676,0.611,0.559,0.46,0.359,0.261"
WALLABY J100916-431959,152.319619,-43.332253,1.39896E9,63009.9,2686.320747,63009.9,2686.320747,54791.21739130435,2335.9310843478265,0.002012,1055010.0,872737.0,76.028883,1.0,0.0,0.0,211831.0,-0.009294,0.010646,59.44445,37.62328,72.268522,50.985113,35.972636,70.59401,252.508305,0.519829,161.92763,0.359719,143.494118,0.330468,186.0,330.0,106.0,204.0,87.0,188.0,65.6536127982417,10.1302810618449,10.130282438129287,Vela High-Res TR1,,,,,,,,,,,,,,,,,,,,,,,,,,,
