name,ra,dec,freq,team_release,team_release_kin,Vsys_model,e_Vsys_model,X_model,e_X_model,Y_model,e_Y_model,RA_model,e_RA_model,DEC_model,e_DEC_model,Inc_model,e_Inc_model,PA_model,e_PA_model,PA_model_g,e_PA_model_g,QFlag_model,Rad,Vrot_model,e_Vrot_model,e_Vrot_model_inc,Rad_SD,SD_model,e_SD_model,SD_FO_model,e_SD_FO_model_inc
WALLABY J101655-485238,154.2297749022268,-48.8773454083931,1.407512971336861E9,Vela TR1,Vela Kin TR1,2738.2,1.1,44.432,1.1347,50.246,0.7695,154.228179,0.002996,-48.879314,0.00117,58.6,5.8,200.4,2.4,196.8,2.4,0.0,"7.5,22.47,37.44,52.41,67.37,82.34,97.31,112.28,127.25,142.22,157.19,172.16,187.12,202.09,217.06","87.6,25.0,90.1,162.7,184.3,201.9,209.7,213.2,213.4,211.7,200.2,187.5,182.6,183.1,185.9","85.1,133.4,75.5,17.9,9.5,3.6,5.7,7.1,4.4,3.7,9.3,12.6,17.1,20.2,18.9","5.4,1.6,5.6,10.1,11.5,12.6,13.0,13.3,13.3,13.2,12.5,11.7,11.4,11.4,11.6","7.5,22.47,37.44,52.41,67.37,82.34,97.31,112.28,127.25,142.22,157.19,172.16,187.12,202.09,217.06,232.03","4.15,4.32,4.66,4.79,5.87,7.33,7.3,6.91,6.46,5.45,4.74,4.57,4.6,3.84,2.83,2.12","1.11,2.63,2.81,2.08,2.03,1.98,1.58,1.26,0.89,0.75,0.79,0.7,0.62,0.58,0.5,0.43","2.161,2.248,2.425,2.493,3.058,3.818,3.803,3.601,3.363,2.84,2.468,2.381,2.396,2.001,1.476,1.106","0.356,0.371,0.4,0.411,0.504,0.629,0.627,0.594,0.554,0.468,0.407,0.392,0.395,0.33,0.243,0.182"
WALLABY J101457-433710,153.7377914732147,-43.61965737500125,1.406170682468304E9,Vela TR1,Vela Kin TR1,3032.5,6.6,58.952,1.0949,34.979,0.2054,153.740097,0.002545,-43.619809,2.45E-4,83.6,0.4,82.5,1.6,79.6,1.6,1.0,"7.5,22.47,37.44,52.41,67.37,82.34,97.31,112.28,127.25,142.22,157.19,172.16,187.12,202.09,217.06,232.03,247.0","141.8,167.5,217.7,175.3,182.7,188.4,184.0,140.9,144.4,150.0,155.7,159.9,162.6,164.7,167.2,170.2,173.1","45.3,34.1,18.7,15.1,1.4,9.0,7.7,33.8,30.1,24.9,19.5,15.5,12.9,10.9,8.3,5.1,2.0","0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2","7.5,22.47,37.44,52.41,67.37,82.34,97.31,112.28,127.25,142.22,157.19,172.16,187.12,202.09,217.06,232.03,247.0,261.97,276.94,291.91","31.98,31.41,28.86,26.22,20.9,19.18,15.72,11.8,11.2,8.82,8.74,6.82,5.84,5.85,4.24,3.79,3.28,2.91,2.34,1.87","0.06,0.48,2.15,4.65,5.27,7.2,7.75,5.54,6.86,4.21,4.73,3.0,2.85,2.93,1.54,1.7,1.32,1.15,0.76,0.83","3.583,3.519,3.233,2.937,2.341,2.149,1.762,1.322,1.255,0.989,0.98,0.765,0.654,0.655,0.476,0.425,0.367,0.326,0.263,0.21","0.248,0.244,0.224,0.203,0.162,0.149,0.122,0.091,0.087,0.068,0.068,0.053,0.045,0.045,0.033,0.029,0.025,0.023,0.018,0.015"
WALLABY J101219-471739,153.0816577346399,-47.29432561544795,1.408504689806484E9,Vela TR1,Vela Kin TR1,2523.0,2.6,36.568,0.4617,27.503,0.2472,153.081242,0.001162,-47.293172,3.77E-4,81.4,4.3,291.9,0.9,289.2,0.9,1.0,"7.5,22.47,37.44,52.41,67.37,82.34,97.31,112.28,127.25,142.22,157.19","92.5,115.0,145.7,160.3,163.4,167.5,169.6,169.1,168.5,167.8,164.0","51.4,42.1,16.4,4.1,3.8,2.1,1.3,1.9,1.4,0.2,0.2","1.0,1.3,1.7,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9","7.5,22.47,37.44,52.41,67.37,82.34,97.31,112.28,127.25,142.22,157.19,172.16","25.91,26.9,25.94,24.3,21.11,18.44,14.84,11.64,8.6,6.04,4.39,3.23","1.22,2.43,2.81,3.34,3.65,4.06,3.61,3.7,3.31,2.9,2.64,2.03","3.863,4.011,3.868,3.624,3.147,2.75,2.213,1.736,1.283,0.901,0.654,0.481","1.915,1.988,1.917,1.796,1.56,1.363,1.097,0.86,0.636,0.447,0.324,0.238"
WALLABY J100656-450242,151.7347815011327,-45.04507462855512,1.402156411117183E9,Vela TR1,Vela Kin TR1,3904.0,1.0,29.127,0.08,24.39,0.415,151.734137,2.16E-4,-45.045388,6.88E-4,71.7,2.0,249.7,0.2,248.1,0.2,0.0,"7.5,22.47,37.44,52.41,67.37,82.34,97.31","86.6,157.1,181.5,183.2,180.9,177.6,179.9","4.3,0.8,2.9,3.5,0.5,0.8,4.3","1.0,1.8,2.1,2.1,2.1,2.1,2.1","7.5,22.47,37.44,52.41,67.37,82.34,97.31,112.28,127.25","19.7,18.43,15.77,12.14,8.53,5.4,2.8,1.55,0.75","0.64,1.58,2.52,2.33,1.99,1.47,1.18,0.78,0.43","6.174,5.778,4.943,3.804,2.674,1.693,0.877,0.487,0.234","0.657,0.615,0.526,0.405,0.285,0.18,0.093,0.052,0.025"
WALLABY J100916-431959,152.3183582804295,-43.33309955638129,1.398945263095882E9,Vela TR1,Vela Kin TR1,4585.4,0.3,32.327,0.458,35.105,0.1629,152.320938,0.001062,-43.331127,2.45E-4,56.3,3.8,258.8,0.5,256.8,0.5,0.0,"7.5,22.47,37.44,52.41,67.37,82.34,97.31,112.28,127.25","63.3,94.8,101.8,110.2,118.0,120.1,120.1,119.6,120.4","7.5,0.1,1.0,4.9,6.4,0.5,7.9,9.6,7.3","2.8,4.2,4.5,4.9,5.2,5.3,5.3,5.3,5.3","7.5,22.47,37.44,52.41,67.37,82.34,97.31,112.28,127.25,142.22,157.19,172.16","5.27,5.16,4.88,4.39,3.75,3.18,2.67,2.15,1.3,0.71,0.44,0.21","0.17,0.19,0.36,0.53,0.59,0.57,0.55,0.45,0.32,0.23,0.18,0.11","2.922,2.865,2.71,2.438,2.082,1.762,1.479,1.196,0.721,0.392,0.246,0.116","0.287,0.282,0.267,0.24,0.205,0.173,0.145,0.118,0.071,0.039,0.024,0.011"
WALLABY J094524-480828,146.3525983751377,-48.1411600342557,1.416232866162747E9,Vela TR1,Vela Kin TR1,874.9,0.4,31.817,0.1807,31.811,0.1479,146.351848,4.36E-4,-48.141222,2.58E-4,75.9,4.9,32.2,0.4,34.6,0.4,0.0,"7.5,22.47,37.44,52.41,67.37,82.34,97.31,112.28,127.25","13.9,21.8,24.8,28.8,32.1,34.1,35.2,36.0,36.5","2.6,4.6,2.1,1.1,0.3,1.0,2.4,3.3,3.8","0.3,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8","7.5,22.47,37.44,52.41,67.37,82.34,97.31,112.28,127.25","13.95,12.72,10.6,8.89,6.78,4.84,3.24,2.07,1.08","0.36,1.01,1.36,1.36,1.11,0.96,0.71,0.52,0.46","3.393,3.094,2.576,2.163,1.65,1.178,0.787,0.502,0.263","1.158,1.056,0.879,0.738,0.563,0.402,0.269,0.171,0.09"
WALLABY J101330-434301,153.3753450044368,-43.71700135586159,1.399102516883459E9,Vela TR1,Vela Kin TR1,4564.0,1.3,23.302,0.1171,24.51,0.415,153.376206,3.15E-4,-43.715755,6.82E-4,82.1,6.9,130.9,0.6,128.3,0.6,1.0,"7.5,22.47,37.44,52.41,67.37,82.34,97.31","157.1,197.8,205.2,218.6,219.9,215.8,222.7","84.4,29.3,0.7,3.6,2.6,1.0,0.9","2.7,3.3,3.5,3.7,3.7,3.7,3.8","7.5,22.47,37.44,52.41,67.37,82.34,97.31","17.48,16.85,16.02,13.34,10.18,6.69,4.65","0.42,0.69,1.16,1.91,4.17,4.25,4.23","2.416,2.328,2.214,1.843,1.407,0.925,0.642","2.069,1.994,1.896,1.579,1.205,0.792,0.55"
WALLABY J100239-452950,150.6627853167272,-45.49748415018546,1.403949710400569E9,Vela TR1,Vela Kin TR1,3507.6,0.1,24.634,0.0125,26.514,0.2644,150.661304,3.9E-5,-45.497967,4.4E-4,57.2,0.2,42.3,1.1,41.5,1.1,0.0,"7.5,22.47,37.44,52.41,67.37,82.34,97.31","102.5,137.9,150.2,145.7,137.0,133.5,126.7","8.0,3.6,4.1,0.1,2.0,1.1,7.4","0.3,0.3,0.4,0.4,0.3,0.3,0.3","7.5,22.47,37.44,52.41,67.37,82.34,97.31","9.76,8.94,7.17,5.2,3.34,1.72,0.58","0.31,0.56,0.64,0.66,0.58,0.47,0.22","5.293,4.851,3.887,2.822,1.813,0.931,0.314","0.032,0.029,0.023,0.017,0.011,0.006,0.002"
WALLABY J101331-434904,153.3795323541981,-43.81792670205889,1.400711267775331E9,Vela TR1,Vela Kin TR1,4216.0,1.9,26.505,0.4772,29.091,0.751,153.377655,0.001184,-43.816572,0.001212,50.2,1.4,227.5,0.6,224.9,0.6,0.0,"7.5,22.47,37.44,52.41,67.37,82.34,97.31","140.9,180.2,172.7,177.6,173.1,170.2,96.1","66.9,17.7,0.0,1.8,0.5,2.9,82.4","3.0,3.8,3.6,3.7,3.6,3.6,2.0","7.5,22.47,37.44,52.41,67.37,82.34,97.31,112.28","6.18,5.89,5.28,4.43,2.89,1.34,0.67,0.35","0.44,0.8,0.76,0.71,0.6,0.39,0.23,0.18","3.955,3.77,3.381,2.838,1.853,0.858,0.427,0.221","0.119,0.114,0.102,0.086,0.056,0.026,0.013,0.007"
WALLABY J101442-445108,153.6759889734361,-44.85238050340688,1.415193366336369E9,Vela TR1,Vela Kin TR1,1098.8,0.7,23.653,0.3218,29.939,0.1607,153.675039,7.76E-4,-44.851044,2.39E-4,24.6,1.6,40.6,4.7,37.6,4.7,0.0,"7.5,22.47,37.44,52.41,67.37","94.1,86.3,85.0,75.0,77.7","20.0,4.7,4.1,18.9,17.3","5.7,5.2,5.1,4.5,4.7","7.5,22.47,37.44,52.41,67.37","10.42,8.94,6.05,2.57,0.73","0.72,1.1,0.95,0.6,0.28","9.479,8.126,5.505,2.337,0.663","0.118,0.102,0.069,0.029,0.008"
