recno,ID,WALLABY,Dp/r200,dV/sigC,logM,logMHI,Fr1,Frps,frpsP,frpsR,Simbad,NED,_RA,_DE
1,83,J102107-281054,2.16,0.44,8.5,9.1,0,0,,,Simbad,NED,155.279,-28.1817
2,97,J102411-285533,1.91,0.25,8.9,8.9,0,0,,,Simbad,NED,156.046,-28.9258
3,102,J102430-290904,1.94,0.03,8.4,8.6,0,0,,,Simbad,NED,156.125,-29.1511
4,103,J102439-244547,2.38,-0.36,8.3,9.0,0,0,,,Simbad,NED,156.162,-24.7631
5,104,J102439-274841,1.66,-0.21,6.7,8.8,0,0,,,Simbad,NED,156.162,-27.8114
6,116,J102621-291150,1.74,-0.05,8.2,8.9,0,0,,,Simbad,NED,156.587,-29.1972
7,117,J102629-285851,1.66,-0.03,7.8,8.6,0,0,,,Simbad,NED,156.621,-28.9808
8,118,J102636-245116,2.16,0.39,8.6,8.7,0,0,,,Simbad,NED,156.650,-24.8544
9,125,J102818-255446,1.52,0.12,6.8,8.3,0,0,,,Simbad,NED,157.075,-25.9128
10,127,J102911-302031,2.02,0.67,10.1,9.3,0,0,,,Simbad,NED,157.296,-30.3419
11,129,J102934-261937,1.23,0.32,8.7,8.7,0,0,,,Simbad,NED,157.392,-26.3269
12,130,J103002-284116,1.16,0.17,8.6,8.6,0,0,,,Simbad,NED,157.508,-28.6878
13,131,J103004-253630,1.49,-0.53,7.4,8.5,0,0,,,Simbad,NED,157.517,-25.6083
14,134,J103114-295837,1.69,0.72,8.5,8.6,0,0,,,Simbad,NED,157.808,-29.9769
15,135,J103124-295706,1.66,0.58,9.1,9.5,0,0,,,Simbad,NED,157.850,-29.9517
16,137,J103139-273049,0.69,-0.25,7.9,8.7,0,0,,,Simbad,NED,157.912,-27.5136
17,141,J103241-273137,0.55,0.14,9.2,8.5,0,0,,,Simbad,NED,158.171,-27.5269
18,142,J103244-283639,0.86,-0.17,10.5,9.3,0,0,,,Simbad,NED,158.183,-28.6108
19,143,J103248-273119,0.53,-0.19,9.1,9.0,0,0,,,Simbad,NED,158.200,-27.5219
20,144,J103250-301601,1.77,-0.41,10.2,9.3,0,0,,,Simbad,NED,158.208,-30.2669
21,146,J103258-274013,0.52,-0.94,8.6,9.0,1,0,0.59,,Simbad,NED,158.242,-27.6703
22,147,J103259-273237,0.51,1.63,8.7,8.5,1,1,0.79,,Simbad,NED,158.246,-27.5436
23,149,J103335-272717,0.43,-0.55,10.8,9.3,0,0,,,Simbad,NED,158.396,-27.4547
24,151,J103353-274945,0.43,-1.54,8.8,9.0,1,1,1.00,,Simbad,NED,158.471,-27.8292
25,155,J103420-264728,0.56,0.93,8.4,8.5,1,0,0.54,,Simbad,NED,158.583,-26.7911
26,156,J103420-265408,0.50,0.00,7.9,8.8,0,0,,,Simbad,NED,158.583,-26.9022
27,157,J103436-273900,0.30,-1.13,9.9,9.3,1,1,0.77,0.87,Simbad,NED,158.650,-27.6500
28,160,J103455-273816,0.25,-1.12,7.5,8.5,1,1,1.00,,Simbad,NED,158.729,-27.6378
29,161,J103459-280440,0.42,-2.13,9.7,8.5,1,0,0.67,,Simbad,NED,158.746,-28.0778
30,162,J103502-293019,1.25,0.02,9.1,8.8,0,0,,,Simbad,NED,158.758,-29.5053
31,163,J103507-275923,0.36,-2.05,8.7,8.8,1,1,1.00,,Simbad,NED,158.779,-27.9897
32,165,J103521-272324,0.20,-0.94,7.9,8.6,1,1,1.00,,Simbad,NED,158.837,-27.3900
33,166,J103521-274137,0.21,-1.33,8.3,9.0,1,1,1.00,,Simbad,NED,158.837,-27.6936
34,168,J103523-281855,0.52,-0.69,9.9,9.5,1,1,0.44,0.61,Simbad,NED,158.846,-28.3153
35,172,J103546-273840,0.15,1.60,8.1,8.8,1,1,1.00,,Simbad,NED,158.942,-27.6444
36,174,J103602-261141,0.82,-0.72,8.1,8.5,1,0,0.27,,Simbad,NED,159.008,-26.1947
37,176,J103603-245430,1.62,0.33,7.1,8.9,0,0,,,Simbad,NED,159.012,-24.9083
38,178,J103621-252235,1.32,0.44,9.3,8.9,0,0,,,Simbad,NED,159.087,-25.3764
39,179,J103627-255957,0.94,-0.78,7.1,8.2,1,0,0.30,,Simbad,NED,159.112,-25.9992
40,180,J103644-251543,1.39,-0.11,8.8,8.8,0,0,,,Simbad,NED,159.183,-25.2619
41,181,J103645-281010,0.40,-0.38,8.4,9.0,1,0,0.34,,Simbad,NED,159.187,-28.1694
42,182,J103646-293253,1.25,-0.26,8.7,9.0,0,0,,,Simbad,NED,159.192,-29.5481
43,183,J103650-260923,0.84,-0.12,8.9,9.1,0,0,,,Simbad,NED,159.208,-26.1564
44,186,J103653-270311,0.29,-0.29,9.0,9.1,1,1,0.34,0.43,Simbad,NED,159.221,-27.0531
45,187,J103655-265412,0.38,-0.77,8.0,9.2,1,1,0.81,0.93,Simbad,NED,159.229,-26.9033
46,189,J103702-273359,0.05,-1.39,10.9,9.4,1,1,1.00,0.96,Simbad,NED,159.258,-27.5664
47,190,J103704-252038,1.34,-0.03,9.1,8.9,0,0,,,Simbad,NED,159.267,-25.3439
48,192,J103719-281408,0.45,-0.41,8.3,8.5,1,0,0.30,,Simbad,NED,159.329,-28.2356
49,194,J103722-273235,0.09,-1.54,8.0,8.6,1,1,1.00,,Simbad,NED,159.342,-27.5431
50,195,J103725-251916,1.36,-0.04,10.5,10.1,0,0,,,Simbad,NED,159.354,-25.3211
51,200,J103738-281216,0.44,1.54,8.1,8.5,1,1,1.00,,Simbad,NED,159.408,-28.2044
52,203,J103804-284333,0.77,1.13,8.4,8.8,1,0,0.55,,Simbad,NED,159.517,-28.7258
53,204,J103805-250537,1.51,0.35,9.0,8.8,0,0,,,Simbad,NED,159.521,-25.0936
54,205,J103809-260453,0.91,-0.21,8.7,8.4,0,0,,,Simbad,NED,159.537,-26.0814
55,207,J103812-275607,0.33,-1.38,7.6,8.3,1,1,1.00,,Simbad,NED,159.550,-27.9353
56,208,J103818-285307,0.87,1.01,9.2,9.5,1,1,0.41,0.26,Simbad,NED,159.575,-28.8853
57,210,J103821-254126,1.15,-0.47,8.0,8.7,0,0,,,Simbad,NED,159.587,-25.6906
58,211,J103828-283056,0.66,0.98,8.1,8.8,1,0,0.55,,Simbad,NED,159.617,-28.5156
59,212,J103833-274357,0.29,1.06,9.3,9.2,1,1,0.93,0.56,Simbad,NED,159.637,-27.7325
60,213,J103840-283405,0.70,-0.42,9.8,8.9,0,0,,,Simbad,NED,159.667,-28.5681
61,214,J103841-253530,1.22,0.18,7.6,8.9,0,0,,,Simbad,NED,159.671,-25.5917
62,215,J103842-281535,0.53,-0.51,8.1,8.6,1,1,0.30,,Simbad,NED,159.675,-28.2597
63,220,J103902-291255,1.09,-0.84,8.3,8.9,1,0,0.24,,Simbad,NED,159.758,-29.2153
64,222,J103914-271511,0.38,1.26,8.0,8.4,1,1,1.00,,Simbad,NED,159.808,-27.2531
65,223,J103915-301757,1.75,0.07,10.4,9.8,0,0,,,Simbad,NED,159.812,-30.2992
66,225,J103922-293505,1.32,0.23,9.3,9.3,0,0,,,Simbad,NED,159.842,-29.5847
67,226,J103924-275442,0.44,-0.80,9.0,8.9,1,0,0.51,,Simbad,NED,159.850,-27.9117
68,228,J103927-271653,0.40,-0.58,8.3,8.6,1,0,0.51,,Simbad,NED,159.862,-27.2814
69,229,J103939-280552,0.54,-0.53,8.1,8.8,1,0,0.37,,Simbad,NED,159.912,-28.0978
70,231,J103958-301130,1.71,-0.70,10.1,9.1,0,0,,,Simbad,NED,159.992,-30.1917
71,232,J104000-292445,1.25,0.06,8.3,9.2,0,0,,,Simbad,NED,160.000,-29.4125
72,233,J104004-301606,1.75,-0.53,9.5,9.4,0,0,,,Simbad,NED,160.017,-30.2683
73,234,J104016-274630,0.51,0.38,10.1,9.8,1,0,0.25,,Simbad,NED,160.067,-27.7750
74,235,J104026-274853,0.54,0.96,7.7,8.7,1,1,0.71,,Simbad,NED,160.108,-27.8147
75,236,J104048-244003,1.85,-0.11,8.3,9.0,0,0,,,Simbad,NED,160.200,-24.6675
76,238,J104058-274546,0.60,0.40,8.1,8.8,1,0,0.22,,Simbad,NED,160.242,-27.7628
77,239,J104059-270456,0.64,1.57,10.1,9.5,1,1,0.56,0.44,Simbad,NED,160.246,-27.0822
78,240,J104100-284430,0.95,0.03,9.1,8.9,0,0,,,Simbad,NED,160.250,-28.7417
79,242,J104139-254049,1.32,0.19,7.8,8.7,0,0,,,Simbad,NED,160.412,-25.6803
