recno,WALLABY,Group,DL,r/R200,dv/sigma,log(M*),log(MHI),dHI,dopt,dNUV,SFR,f_SFR,SimbadName,_RA,_DE
1,J100336-262923,field,13.3293887587330,5.314002042505868,4.254651719852323,6.40078255203291,8.00406659695900,97.8319445171537,10.01306994656894,8.45206366736547,,1,,150.900,-26.4897
2,J100342-270137,field,14.1678038564090,5.247784115800309,4.171034076610998,8.54794596539052,9.42658418957133,425.4534492979854,88.35558643870607,163.84433427814696,-0.870418815644679,0,WALLABY J100342-270137,150.925,-27.0269
3,J100351-263707,field,12.9283483916657,5.263481606260489,4.294657172639627,7.23777043003895,8.61814017369177,151.4259797814909,27.80408283983452,44.42659669094170,-1.685820171520705,1,,150.962,-26.6186
4,J100351-273417,field,41.5158107313099,5.197284631970606,1.456557073392416,10.35143631450568,9.86906779274754,248.0193500199635,126.26636559108631,111.07552153834187,0.253076310455871,0,WALLABY J100351-273417,150.962,-27.5714
5,J100426-282638,field,16.0343487985797,5.128417951889470,3.984964179934595,9.01649567835553,9.39130957021716,332.7401899226355,149.93420828162849,161.60084612462455,-0.748069462830461,0,WALLABY J100426-282638,151.108,-28.4439
6,J100634-295615,field,16.5349410780098,5.021376362732516,3.935081941737834,8.86727861240806,8.86908197346205,150.4409750799156,59.27130936471042,70.72112053851166,-0.104783208800652,0,,151.642,-29.9375
7,J100640-273917,field,63.7167962773769,4.752685218397017,0.728847170343012,9.40715444348405,9.38936738729788,101.1159221089752,37.00036979888532,43.30661403454224,-0.652448383066693,0,WALLABY J100640-273917,151.667,-27.6547
8,J100656-251731,field,43.0362075574143,5.018508685330841,1.306379518384904,8.66374365789198,8.94477197718698,88.4526413893878,32.61258653845729,43.41535752460839,-0.989812091446541,0,,151.733,-25.2919
9,J100700-273944,field,63.3347843155386,4.698036441975061,0.691378040892313,8.54877850999746,9.11332829400832,80.5041308108118,12.12431417716718,42.47915676841080,-1.135539885227451,0,,151.750,-27.6622
10,J100713-262336,field,68.6895082652854,4.758435568429874,1.216162190697194,8.79250065003376,9.44482324765813,100.1812174595302,23.07243960764111,38.36185304044893,-0.810812106565879,1,,151.804,-26.3933
11,J100746-281451,field,70.1973364374401,4.593877754341986,1.363769924379741,9.87400226467259,8.77413243250660,38.3261325240794,33.73563348228222,42.19786103982817,0.005547169043109,0,,151.942,-28.2475
12,J100808-260942,field,45.8001476402172,4.651906098991369,1.033565642590748,8.71184594263712,9.04658122928733,88.3778258859561,28.84556423216024,36.03719003617466,-1.133669381215507,1,WALLABY J100808-260942,152.033,-26.1617
13,J100830-262140,field,62.6033566802030,4.563791220024505,0.619623860603350,8.54848850613459,8.97967974405707,61.4512019489544,28.77756095401703,26.21112178630100,-1.155029308393297,1,WALLABY J100830-262140,152.125,-26.3611
14,J100903-290239,field,16.4586522652486,4.471930452700645,3.942683298878278,9.30009321217186,10.03464913541072,627.7754238207419,153.02089029683057,264.59122298003069,-0.306222697999631,0,,152.262,-29.0442
15,J100938-255850,field,45.8799767754748,4.453039237101873,1.025689862530743,9.20255677405103,9.39206443719206,112.9910083835964,44.18937128138662,61.75232022834609,-0.287010895883364,0,,152.408,-25.9806
16,J101018-285748,field,61.8654649514533,4.276152863624760,0.547218110405460,8.34942162314391,9.01027116254609,64.7987723662872,24.97739170816181,25.15374730056634,-0.449508544780425,0,,152.575,-28.9633
17,J101025-275214,field,35.9822970627557,4.161193767098558,2.003776445917581,7.80428798304559,8.71346271193429,85.0064383017831,28.55090519835318,25.18634225401230,-1.405191188724950,1,WALLABY J101025-275214,152.604,-27.8706
18,J101035-254920,field,37.3333436410424,4.339763631772231,1.870075323861052,9.04514225537443,9.45054669954819,165.8849186256641,66.39133020557419,101.49693703323192,-0.522543640326116,0,,152.646,-25.8222
19,J101049-302538,field,40.3508210348543,4.538530223665586,1.571680827912320,8.83265127379147,9.47566662754520,184.5973262902981,64.95227908621823,53.96534334797010,-1.043772065114972,0,,152.704,-30.4272
20,J101314-271308,field,67.9426283300720,3.726352587021410,1.143020060052516,9.22654739275386,9.15237804068623,70.2250423816231,19.89696159046632,27.93802580355539,-0.322538105865977,0,,153.308,-27.2189
21,J101334-273518,field,37.8731636981773,3.659506923327710,1.816671050098979,8.36615858576536,8.93435146195605,95.3355854090180,24.02238833581075,38.53364519200892,-1.042062330080869,0,,153.392,-27.5883
22,J101348-273147,field,38.6172075751674,3.624483760787935,1.743078796384777,8.36533108700867,8.78562575991309,88.3925274825956,24.97886641616306,31.80166782695448,-1.410851734784610,1,WALLABY J101348-273147,153.450,-27.5297
23,J101359-253824,field,47.4495016307780,3.868022395763790,0.870886198579869,8.73371398355612,9.52331768592894,161.4654900890271,39.99571836931616,46.66730187877603,-1.068224144199837,1,WALLABY J101359-253824,153.496,-25.6400
24,J101359-274538,field,38.1227648765406,3.595399560970673,1.791981330149940,7.30096569316491,8.39886337608798,51.1641771920541,10.33335957997745,5.79888882296965,,1,WALLABY J101359-274538,153.496,-27.7606
25,J101434-274133,field,37.3951726939794,3.502741186090357,1.863958099743098,9.89539290161584,9.65270969236450,224.3248428384643,73.97534445571165,149.61767668858349,-0.158021639599257,0,,153.642,-27.6925
26,J101448-285723,field,62.2472574017139,3.592557805444462,0.584683745859912,10.25127472182589,9.29928169764446,96.4089304635668,75.89616633004204,51.51917276266614,-0.727116045607479,0,WALLABY J101448-285723,153.700,-28.9564
