condition,dataset,alpha_star,alpha_ci_low,alpha_ci_high,n_gal,scatter_z
Full,SPARC,0.12795857232281466,0.024741092915373106,0.22454806980831452,131,0.5954027794588286
Full,TNG_3k,-0.08398810436962573,-0.14188411268040974,-0.031865899828354735,3000,0.6203200332498152
Full,TNG_48k,0.38126245577827983,0.3717289529694058,0.3883490957497967,48060,0.6561487381943919
Mass-matched,SPARC,0.1036354838278592,-0.07243652062968318,0.3162360847002587,96,0.5972211010626602
Mass-matched,TNG_3k,0.03852881907383545,-0.025021604427277296,0.0908379674863238,2896,0.6217126032564226
Mass-matched,TNG_48k,0.5106007525524728,0.49772615237725404,0.5278275931246581,27950,0.6443706024012915
Resolution-matched,SPARC,-0.22413087975455903,-0.8862778351525917,0.8859121416396729,8,0.5556490655221591
Resolution-matched,TNG_3k,-0.08398810436962573,-0.1346276546570143,-0.019959512180016896,3000,0.6203200332498152
Resolution-matched,TNG_48k,0.38040596945697985,0.3724461610762665,0.3900977844504731,48032,0.6560355797258988
Mass+Resolution,SPARC,-0.22413087975455903,-0.8379953043407274,0.8360807132929746,8,0.5556490655221591
Mass+Resolution,TNG_3k,0.03852881907383545,-0.028753698366822678,0.11445516648608352,2896,0.6217126032564226
Mass+Resolution,TNG_48k,0.5105438820086295,0.49681870083324436,0.5262508600531077,27947,0.6443419432599027
